id,site,visit,point,length,roundness,L,a,b
S5U268,Sampiruhan,September,5,1616.174,0.561960958,39.54169477,-2.096548891,27.45989616
S4U346,Sampiruhan,September,4,840.167,0.560936943,41.54889568,-6.812621727,33.52650084
S5U244,Sampiruhan,September,5,1309.199,0.560311973,60.15700446,-2.240932407,23.27920267
S5U61,Sampiruhan,September,5,1659.595,0.559441485,73.72340428,-6.733920305,16.79782633
S1U23,Sampiruhan,September,1,1315.435,0.559091502,63.01387383,-31.9850969,-2.090539322
S4U410,Sampiruhan,September,4,2180.117,0.559055092,78.34728148,-16.12238323,-3.944750912
S4U236,Sampiruhan,September,4,706.364,0.558215281,56.00956729,-5.648276572,24.78983196
S4U60,Sampiruhan,September,4,4649.574,0.557301319,80.01392545,-4.350708785,0.384561766
S4U335,Sampiruhan,September,4,1472.939,0.556477473,38.75027741,-8.147721008,27.92504659
S4U143,Sampiruhan,September,4,1489.318,0.555661306,60.8130857,-8.39007573,22.90469379
S5U245,Sampiruhan,September,5,1216.553,0.554707008,75.09442301,-3.697349952,17.73686134
S4U210,Sampiruhan,September,4,581.017,0.554089211,41.33346957,-13.25858458,16.0528395
S4U315,Sampiruhan,September,4,1096.348,0.552571719,39.01754154,-16.05287887,31.19392146
S4U142,Sampiruhan,September,4,686.037,0.550516615,77.87117501,-8.624288083,24.78742667
S4U364,Sampiruhan,September,4,1081.103,0.549464801,39.47324772,-8.227454137,21.39672491
S5U200,Sampiruhan,September,5,1438.07,0.54868341,66.42172869,-7.508666488,11.25146634
S5U43,Sampiruhan,September,5,4172.731,0.548386009,60.40132441,-2.520010007,1.37091362
S2U24,Sampiruhan,September,2,4325.234,0.548283286,66.791672,-23.48728186,-21.06935473
S1U43,Sampiruhan,September,1,1599.72,0.54751479,62.7280442,-6.484894059,23.93075318
S1U24,Sampiruhan,September,1,1457.19,0.545680058,60.86589804,-5.674361486,41.76144454
S4U348,Sampiruhan,September,4,1139.073,0.545412471,39.31401571,-16.37832535,26.13391013
S4U68,Sampiruhan,September,4,3508.895,0.545078659,86.46426845,-4.848595818,5.10273967
S4U123,Sampiruhan,September,4,795.219,0.544211079,72.98643664,-7.174146848,21.19906802
S5U62,Sampiruhan,September,5,1469.001,0.543747321,44.53796588,-4.073202119,8.11609713
S5U72,Sampiruhan,September,5,1763.31,0.543396522,42.13731138,-10.62174899,11.80867778
S4U392,Sampiruhan,September,4,1735.657,0.541547677,34.12079934,-7.916100717,22.6224
S4U145,Sampiruhan,September,4,2254.183,0.539510632,86.7129248,-6.012194881,10.78072737
S4U112,Sampiruhan,September,4,1241.965,0.538090899,54.54167659,-14.39309888,13.97155303
S5U130,Sampiruhan,September,5,1179.355,0.537951073,60.87104388,-2.833827439,27.57698847
S4U190,Sampiruhan,September,4,1794.971,0.537828328,81.77528588,-9.98174198,16.90110193
S5U241,Sampiruhan,September,5,1219.514,0.535307033,60.42166182,-8.038173994,18.43533823
S4U109,Sampiruhan,September,4,1633.462,0.533871683,70.90838525,-9.507331967,13.7940311
S4U366,Sampiruhan,September,4,954.726,0.531549584,35.97473664,-9.165666804,21.46187016
S4U81,Sampiruhan,September,4,1170.287,0.5302183,64.01212679,-28.2727737,0.579938377
S4U63,Sampiruhan,September,4,4233.065,0.529451427,83.9455353,-5.235708407,7.273587648
S5U109,Sampiruhan,September,5,2245.402,0.527384444,44.18049459,-6.540666555,14.78990869
S5U105,Sampiruhan,September,5,1413.755,0.525885462,41.39312424,-20.59348628,20.69416528
S5U142,Sampiruhan,September,5,1291.165,0.524050597,76.40356867,-7.127450596,9.178397475
S5U252,Sampiruhan,September,5,1712.595,0.523861736,41.28629671,-4.717753807,14.98947082
S4U173,Sampiruhan,September,4,1565.321,0.523605699,76.0252521,-8.483104585,44.66944119
