Data ID:;D:\mrolf2\ML3.1_5-20_1-16_2v4\ML3.1_5-20_1-16_2v4.ilab
Date of Export:;2021-02-05 16:08:43
Classes:;24
Particles on File:;7534

Particle Classes:
;Class;Class Name;Class ID;No. of Particles
;1;PU;PU;42
;2;PET;PET;4
;3;PA;PA;4
;4;PC;PC;2
;5;PMMA;PMMA;29
;6;PVC;PVC;14
;7;PE;PE;261
;8;PP;PP;161
;9;POM;POM;7
;10;ABS;ABS;13
;11;PAN;PAN;0
;12;PS;PS;439
;13;PBT;PBT;0
;14;PPSU;PPSU;0
;15;CA;CA;0
;16;EVAc;EVAc;55
;17;PEEK;PEEK;0
;18;EVOH;EVOH;0
;19;PSU;PSU;0
;20;SILICONE;SI;0
;21;Substrat;Substrate;0
;22;Non-Polymer;Non-Polymer;6502
;23;PLA;PLA;0
;24;PLA-PBAT;PLAPBAT;1

Export Filter Parameters:
;Minimum Size:;1
;Minimum Relevance:;0,00000000000000
;Minimum Aux. Parameter:;0,00000000000000
;Selected Classes:;[1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,23,24]
;No. Exported Particles:;1032

Particle Properties:
;Particle;Size [px];Area [µm≤];Class Idx;Class Name;XPos [px];YPos [px];Left Edge [px];Right Edge [px];Bottom Edge [px];Top Edge [px];CenterX [px];CenterY [px];PC1LdX;PC1LdY;Length [px];Width [px];Aspect;Direction [∞];Relevance;Similarity;Done;polymere?;Form;Farbe;L‰nge;Breite;Kommentar
;00065;1;122,102499999944;5;PMMA;320;367;320;320;367;367;321,000000000000;368,000000000000;0,00000000000000;0,00000000000000;1,00000000000000;1,00000000000000;1,00000000000000;0,00000000000000;0,47719000493827;0,49947186641721;;"";"";"";"";"";""
;00066;1;122,102499999944;5;PMMA;352;567;352;352;567;567;353,000000000000;568,000000000000;0,00000000000000;0,00000000000000;1,00000000000000;1,00000000000000;1,00000000000000;0,00000000000000;0,48091123519842;0,41555125127609;;"";"";"";"";"";""
;00067;1;122,102499999944;5;PMMA;355;567;355;355;567;567;356,000000000000;568,000000000000;0,00000000000000;0,00000000000000;1,00000000000000;1,00000000000000;1,00000000000000;0,00000000000000;0,44063763637746;0,31264751210530;;"";"";"";"";"";""
;00068;1;122,102499999944;5;PMMA;377;780;377;377;780;780;378,000000000000;781,000000000000;0,00000000000000;0,00000000000000;1,00000000000000;1,00000000000000;1,00000000000000;0,00000000000000;0,39068700953697;0,57890211950823;;"uneindeutig";"";"";"";"";""
;00069;1;122,102499999944;5;PMMA;383;778;383;383;778;778;384,000000000000;779,000000000000;0,00000000000000;0,00000000000000;1,00000000000000;1,00000000000000;1,00000000000000;0,00000000000000;0,28660385395885;0,58875547135822;OK;"ja";"Kugel";"grau";"89";"89";""
;00070;1;122,102499999944;5;PMMA;440;894;440;440;894;894;441,000000000000;895,000000000000;0,00000000000000;0,00000000000000;1,00000000000000;1,00000000000000;1,00000000000000;0,00000000000000;0,38218401700910;0,23066067658504;;"";"";"";"";"";""
;00071;2;244,204999999887;5;PMMA;463;706;463;463;706;707;464,000000000000;708,000000000000;0,00000000000000;1,00000000000000;2,00000000000000;1,00000000000000;2,00000000000000;90,0000000000000;0,21709710222222;0,49360943587366;;"";"";"";"";"";""
;00072;1;122,102499999944;5;PMMA;528;164;528;528;164;164;529,000000000000;165,000000000000;0,00000000000000;0,00000000000000;1,00000000000000;1,00000000000000;1,00000000000000;0,00000000000000;0,40430866389247;0,17791265653823;;"";"";"";"";"";""
;00073;25;3052,56249999859;5;PMMA;566;94;566;571;92;97;570,000000000000;96,0000000000000;9,85376179666513E-02;0,99513332666807;6,17274186927366;6,17274186927375;0,99999999999999;84,3450337629894;0,58666666666667;0,74431077500323;OK;"ja";"Kugel";"weiﬂ";"106";"106";""
;00074;1;122,102499999944;5;PMMA;597;726;597;597;726;726;598,000000000000;727,000000000000;0,00000000000000;0,00000000000000;1,00000000000000;1,00000000000000;1,00000000000000;0,00000000000000;0,38629337387524;1,31510617032670E-02;;"";"";"";"";"";""
