Data ID:;D:\mrolf2\ML2_5-20_1-64_4v5\ML-2_5-20_1-64_4v5.ilab
Date of Export:;2021-02-06 14:33:03
Classes:;24
Particles on File:;18341

Particle Classes:
;Class;Class Name;Class ID;No. of Particles
;1;PU;PU;1
;2;PET;PET;1
;3;PA;PA;0
;4;PC;PC;0
;5;PMMA;PMMA;1
;6;PVC;PVC;2
;7;PE;PE;34
;8;PP;PP;8
;9;POM;POM;0
;10;ABS;ABS;0
;11;PAN;PAN;0
;12;PS;PS;21
;13;PBT;PBT;0
;14;PPSU;PPSU;0
;15;CA;CA;0
;16;EVAc;EVAc;0
;17;PEEK;PEEK;0
;18;EVOH;EVOH;1
;19;PSU;PSU;0
;20;SILICONE;SI;0
;21;Substrat;Substrate;13777
;22;Non-Polymer;Non-Polymer;4495
;23;PLA;PLA;0
;24;PLA-PBAT;PLAPBAT;0

Export Filter Parameters:
;Minimum Size:;1
;Minimum Relevance:;0,00000000000000
;Minimum Aux. Parameter:;0,00000000000000
;Selected Classes:;[1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,23,24]
;No. Exported Particles:;69

Particle Properties:
;Particle;Size [px];Area [µm²];Class Idx;Class Name;XPos [px];YPos [px];Left Edge [px];Right Edge [px];Bottom Edge [px];Top Edge [px];CenterX [px];CenterY [px];PC1LdX;PC1LdY;Length [px];Width [px];Aspect;Direction [°];Relevance;Similarity;Done;polymere?;Form;Farbe;Länge;Breite;Kommentar
;00048;16;1953,63999999974;12;PS;17;506;17;21;504;507;20,0000000000000;506,000000000000;0,78820543801611;-0,61541220940264;5,99905838027234;4,59544073285355;1,30543700354660;142,018121733963;1,00000000000000;0,72952632793037;OK;"ja";"Kugel";"transparent";"72";"72";""
;00049;142;17338,5549999977;12;PS;205;234;195;205;224;240;201,000000000000;233,000000000000;0,11435781760637;0,99343962551949;17,4668230963438;11,6205431608332;1,50309868089603;83,4334136514719;0,00000000000000;0,00000000000000;OK;"ja";"Fragment";"grau";"232";"140";""
;00050;55;6715,63749999912;12;PS;638;762;632;638;756;767;636,000000000000;762,000000000000;-6,01761717940631E-02;0,99818777208911;12,0402416647743;7,22983131971080;1,66535581984448;93,4499249396990;0,00000000000000;0,00000000000000;OK;"ja";"Fragment";"grau";"137";"94";""
;00051;23;2808,35749999963;12;PS;238;165;238;244;163;167;242,000000000000;166,000000000000;0,98263122552824;0,18556905619437;7,08135640936382;5,30166301450168;1,33568587629846;10,6943114139094;0,90913659259259;0,75412780395700;OK;"ja";"Kugel";"transparent";"103";"103";""
;00052;6;732,614999999903;12;PS;254;918;254;256;917;919;256,000000000000;919,000000000000;-0,70710678118655;0,70710678118655;3,12132034355966;2,41421356237311;1,29289321881345;135,000000000000;0,73742222222222;0,73910357196253;OK;"ja";"Kugel";"transparent";"55";"55";""
;00053;1;122,102499999984;12;PS;418;638;418;418;638;638;419,000000000000;639,000000000000;0,00000000000000;0,00000000000000;1,00000000000000;1,00000000000000;1,00000000000000;0,00000000000000;0,56888888888889;0,56852064838818;;"";"";"";"";"";""
;00054;2;244,204999999968;12;PS;421;635;421;422;635;635;422,000000000000;636,000000000000;1,00000000000000;0,00000000000000;2,00000000000000;1,00000000000000;2,00000000000000;0,00000000000000;0,76568888888889;0,56050900606571;OK;"ja";"Fragment";"transparent";"105";"70";""
;00055;11;1343,12749999982;12;PS;427;903;427;430;901;904;430,000000000000;904,000000000000;0,75438585349656;-0,65643124852818;4,57602005754603;3,26315756048984;1,40232887095379;138,971735905295;0,94755081481481;0,70475366543346;OK;"ja";"Kugel";"transparent";"67";"67";""
;00056;48;5860,91999999923;12;PS;444;657;444;451;655;663;448,000000000000;660,000000000000;0,11168051639097;0,99374416338344;8,94995330706740;8,29125069285698;1,07944550690982;83,5878009488825;1,00000000000000;0,81673732120775;OK;"ja";"Kugel";"transparent";"96";"96";""
;00057;14;1709,43499999978;12;PS;566;803;566;569;802;806;568,000000000000;805,000000000000;-0,58217761718733;0,81306163483839;5,41660177372819;4,02136252170260;1,34695684472507;125,603850838257;0,74986666666667;0,71167450060360;OK;"ja";"Kugel";"transparent";"67";"67";""
