MP identifier,Coordinates [pixels],Coordinates [µm],,,Polymer group,Number of pixels [-],Area on map [µm²],Major dimension [µm],Minor dimension [µm],Volume [µm³],Mass [ng],Sampling_Site,Sample_replicate,Sampling_Period
MP_12,[1993,1358],[10962,7469],pp,62,1875.5,60.6,39.4,29543.74,28.06655,Nilijoki (S4),1,July2021
MP_13,[929,1855],[5110,10203],pp,2316,70059,478.7,186.3,5221538.5,4960.4615,Nilijoki (S4),1,July2021
MP_14,[1526,89],[8393,490],pp,63,1905.8,79.6,30.5,23239.338,22.07737,Nilijoki (S4),1,July2021
MP_15,[1643,369],[9037,2030],pp,28,847,52.9,20.4,6903.335,6.55817,Nilijoki (S4),1,July2021
MP_1,[659,1117],[3625,6144],pet,305,9226.3,284.8,41.3,152235.672,210.08522,Nitsijärvi  (S9),1,July2021
MP_2,[724,294],[3982,1617],pet,152,4598,271.4,21.6,39676.719,54.75387,Nitsijärvi  (S9),1,July2021
MP_3,[1300,466],[7150,2563],pet,127,3841.8,129.5,37.8,58032.078,80.08427,Nitsijärvi  (S9),1,July2021
MP_4,[1310,1651],[7205,9081],pet,26,786.5,41.6,24.1,7581.101,10.46192,Nitsijärvi  (S9),1,July2021
MP_5,[1467,258],[8069,1419],pet,146,4416.5,127,44.3,78247.68,107.9818,Nitsijärvi  (S9),1,July2021
MP_6,[2053,622],[11292,3421],pet,5,151.3,21.1,9.1,553.322,0.76358,Nitsijärvi  (S9),1,July2021
MP_7,[560,427],[3080,2349],pe,60,1815,67.6,34.2,24818.289,23.57738,Nitsijärvi  (S9),1,July2021
MP_8,[719,251],[3955,1381],pe,215,6503.8,158.1,52.4,136301.047,129.48599,Nitsijärvi  (S9),1,July2021
MP_9,[1694,291],[9317,1601],pe,279,8439.8,139.2,77.2,260623.875,247.59267,Nitsijärvi  (S9),1,July2021
MP_10,[1050,880],[5775,4840],ps,1621,49035.3,346.4,180.2,3534825.25,3676.21825,Nitsijärvi  (S9),1,July2021
MP_11,[831,727],[4571,3999],ps,77,2329.3,67.6,43.9,40874.34,42.50931,Nitsijärvi  (S9),1,July2021
MP_12,[2204,1363],[12122,7497],abs,205,6201.3,207.2,38.1,94524.719,101.14145,Nitsijärvi  (S9),1,July2021
MP_13,[366,658],[2013,3619],pp,44,1331,55.8,30.4,16182.074,15.37297,Nitsijärvi  (S9),1,July2021
MP_14,[682,828],[3751,4554],pp,29,877.3,44.2,25.3,8868.281,8.42487,Nitsijärvi  (S9),1,July2021
MP_15,[814,2098],[4477,11539],pp,5,151.3,17.8,10.8,654.607,0.62188,Nitsijärvi  (S9),1,July2021
MP_16,[1095,613],[6023,3372],pp,41,1240.3,50.9,31.1,15405.013,14.63476,Nitsijärvi  (S9),1,July2021
MP_17,[259,801],[1425,4406],pp,185,5596.3,105,67.9,151968.203,144.3698,Nitsijärvi  (S9),1,July2021
MP_18,[343,639],[1887,3515],pp,129,3902.3,85.7,58,90496.531,85.9717,Nitsijärvi  (S9),1,July2021
MP_19,[655,1084],[3603,5962],pp,162,4900.5,102.8,60.7,118975.336,113.02657,Nitsijärvi  (S9),1,July2021
MP_20,[918,787],[5049,4329],pp,9,272.3,28.2,12.3,1339.707,1.27272,Nitsijärvi  (S9),1,July2021
MP_21,[936,423],[5148,2327],pp,150,4537.5,100.5,57.5,104287.32,99.07295,Nitsijärvi  (S9),1,July2021
MP_22,[1265,204],[6958,1122],pp,17,514.3,33,19.8,4081.359,3.87729,Nitsijärvi  (S9),1,July2021
MP_23,[1322,1628],[7271,8954],pp,93,2813.3,72.4,49.5,55665.477,52.8822,Nitsijärvi  (S9),1,July2021
MP_24,[1559,466],[8575,2563],pp,304,9196,155,75.6,277931.469,264.03491,Nitsijärvi  (S9),1,July2021
MP_25,[2075,1553],[11413,8542],pp,10,302.5,25.3,15.2,1839.825,1.74783,Nitsijärvi  (S9),1,July2021
MP_26,[271,816],[1491,4488],pp,10,302.5,25.3,15.2,1839.825,1.74783,Nitsijärvi  (S9),1,July2021
MP_27,[340,445],[1870,2448],pp,29,877.3,41.6,26.9,9431.518,8.95994,Nitsijärvi  (S9),1,July2021
MP_28,[571,1099],[3141,6045],pp,13,393.3,28.2,17.8,2795.192,2.65543,Nitsijärvi  (S9),1,July2021
MP_29,[733,1492],[4032,8206],pp,68,2057,106.2,24.7,20285.91,19.27162,Nitsijärvi  (S9),1,July2021
MP_30,[887,164],[4879,902],pp,32,968,46.5,26.5,10270.87,9.75733,Nitsijärvi  (S9),1,July2021
MP_31,[1367,2008],[7519,11044],pp,27,816.8,37.1,28,9159.555,8.70158,Nitsijärvi  (S9),1,July2021
MP_32,[1385,217],[7618,1194],pp,29,877.3,43.4,25.7,9032.276,8.58066,Nitsijärvi  (S9),1,July2021
MP_33,[1956,1837],[10758,10104],pp,15,453.8,33.5,17.2,3125.94,2.96964,Nitsijärvi  (S9),1,July2021
MP_34,[643,1442],[3537,7931],pp,55,1663.8,53.8,39.4,26226.625,24.91529,Nitsijärvi  (S9),1,July2021
MP_35,[813,1954],[4472,10747],pp,59,1784.8,55.5,41,29256.305,27.79349,Nitsijärvi  (S9),1,July2021
MP_36,[1173,450],[6452,2475],pp,41,1240.3,44.4,35.6,17647.979,16.76558,Nitsijärvi  (S9),1,July2021
MP_37,[1593,1482],[8762,8151],pp,44,1331,46.5,36.5,19418.363,18.44745,Nitsijärvi  (S9),1,July2021
MP_1,[293,1218],[1612,6699],pet,17,514.3,33.5,19.5,4015.097,5.54083,Opukasjärvi 1 (S5),1,July2021
MP_2,[958,1797],[5269,9884],pet,31,937.8,50.3,23.7,8895.279,12.27549,Opukasjärvi 1 (S5),1,July2021
MP_3,[857,1653],[4714,9092],pe,1517,45889.3,502,116.4,2136523.5,2029.69725,Opukasjärvi 1 (S5),1,July2021
MP_4,[804,1819],[4422,10005],ps,34,1028.5,50.3,26,10700.253,11.12826,Opukasjärvi 1 (S5),1,July2021
MP_5,[283,1160],[1557,6380],pp,104,3146,88.9,45.1,56694.543,53.85982,Opukasjärvi 1 (S5),1,July2021
MP_6,[363,1430],[1997,7865],pp,57,1724.3,64.9,33.8,23343.475,22.1763,Opukasjärvi 1 (S5),1,July2021
MP_7,[534,1108],[2937,6094],pp,487,14731.8,210.4,89.2,525383.188,499.11403,Opukasjärvi 1 (S5),1,July2021
MP_8,[655,663],[3603,3647],pp,63,1905.8,61.3,39.6,30168.207,28.6598,Opukasjärvi 1 (S5),1,July2021
MP_9,[808,2097],[4444,11534],pp,142,4295.5,98.3,55.6,95604.203,90.82399,Opukasjärvi 1 (S5),1,July2021
MP_10,[879,1626],[4835,8943],pp,52,1573,63.8,31.4,19742.758,18.75562,Opukasjärvi 1 (S5),1,July2021
MP_11,[1332,2117],[7326,11644],pp,74,2238.5,71.8,39.7,35522.316,33.7462,Opukasjärvi 1 (S5),1,July2021
MP_12,[1381,2110],[7596,11605],pp,68,2057,67.6,38.7,31877.711,30.28382,Opukasjärvi 1 (S5),1,July2021
MP_13,[1474,1226],[8107,6743],pp,200,6050,115.3,66.8,161664.125,153.58092,Opukasjärvi 1 (S5),1,July2021
MP_14,[1701,1893],[9356,10412],pp,28,847,50.3,21.4,7256.919,6.89407,Opukasjärvi 1 (S5),1,July2021
MP_15,[1708,960],[9394,5280],pp,119,3599.8,97.9,46.8,67409.742,64.03925,Opukasjärvi 1 (S5),1,July2021
MP_16,[375,1566],[2063,8613],pp,34,1028.5,45,29.1,11981.108,11.38205,Opukasjärvi 1 (S5),1,July2021
MP_17,[930,1432],[5115,7876],pp,97,2934.3,98.3,38,44585.852,42.35656,Opukasjärvi 1 (S5),1,July2021
MP_18,[1926,488],[10593,2684],pp,10,302.5,25.3,15.2,1839.825,1.74783,Opukasjärvi 1 (S5),1,July2021
MP_19,[2033,1729],[11182,9510],pp,40,1210,49.1,31.4,15180.234,14.42122,Opukasjärvi 1 (S5),1,July2021
MP_20,[2155,674],[11853,3707],pp,31,937.8,47.7,25,9390.813,8.92127,Opukasjärvi 1 (S5),1,July2021
MP_21,[287,1366],[1579,7513],pp,35,1058.8,58.7,23,9730.106,9.2436,Opukasjärvi 1 (S5),1,July2021
MP_22,[1073,849],[5902,4670],pp,27,816.8,38.7,26.9,8772.59,8.33396,Opukasjärvi 1 (S5),1,July2021
MP_23,[1342,1767],[7381,9719],pp,69,2087.3,73,36.4,30406.738,28.8864,Opukasjärvi 1 (S5),1,July2021
MP_24,[1861,1059],[10236,5825],pp,15,453.8,30.1,19.2,3484.046,3.30984,Opukasjärvi 1 (S5),1,July2021
MP_1,[778,1365],[4279,7508],pet,29,877.3,43.8,25.5,8952.823,12.3549,Opukasjärvi 2 (S6),1,July2021
MP_2,[948,1135],[5214,6243],pet,10,302.5,22.9,16.8,2035.763,2.80935,Opukasjärvi 2 (S6),1,July2021
MP_3,[1134,1454],[6237,7997],pe,972,29403,312.6,119.8,1408714.625,1338.27888,Opukasjärvi 2 (S6),1,July2021
MP_4,[1198,436],[6589,2398],pe,525,15881.3,204.8,98.7,627283.063,595.91888,Opukasjärvi 2 (S6),1,July2021
MP_5,[1241,1691],[6826,9301],pe,175,5293.8,128.4,52.5,111121.977,105.56588,Opukasjärvi 2 (S6),1,July2021
MP_6,[1163,1952],[6397,10736],ps,231,6987.8,122.3,72.8,203409,211.54536,Opukasjärvi 2 (S6),1,July2021
MP_7,[2015,1216],[11083,6688],abs,377,11404.3,156.6,92.7,423050.063,452.66359,Opukasjärvi 2 (S6),1,July2021
MP_8,[93,826],[512,4543],pp,14,423.5,44.4,12.1,2057.706,1.95482,Opukasjärvi 2 (S6),1,July2021
MP_9,[705,1037],[3878,5704],pp,188,5687,107,67.7,153926.531,146.2302,Opukasjärvi 2 (S6),1,July2021
