Data ID:;D:\mrolf2\ML1\ML1.1_5-20_1-32_4v5\ML1.1_5-20_1-32_4v5.ilab
Date of Export:;2021-02-06 11:51:01
Classes:;24
Particles on File:;14517

Particle Classes:
;Class;Class Name;Class ID;No. of Particles
;1;PU;PU;11
;2;PET;PET;9
;3;PA;PA;0
;4;PC;PC;0
;5;PMMA;PMMA;0
;6;PVC;PVC;9
;7;PE;PE;38
;8;PP;PP;28
;9;POM;POM;0
;10;ABS;ABS;1
;11;PAN;PAN;0
;12;PS;PS;5
;13;PBT;PBT;0
;14;PPSU;PPSU;0
;15;CA;CA;0
;16;EVAc;EVAc;0
;17;PEEK;PEEK;0
;18;EVOH;EVOH;0
;19;PSU;PSU;0
;20;SILICONE;SI;0
;21;Substrat;Substrate;7121
;22;Non-Polymer;Non-Polymer;7295
;23;PLA;PLA;0
;24;PLA-PBAT;PLAPBAT;0

Export Filter Parameters:
;Minimum Size:;1
;Minimum Relevance:;0,00000000000000
;Minimum Aux. Parameter:;0,00000000000000
;Selected Classes:;[1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,23,24]
;No. Exported Particles:;101

Particle Properties:
;Particle;Size [px];Area [µm²];Class Idx;Class Name;XPos [px];YPos [px];Left Edge [px];Right Edge [px];Bottom Edge [px];Top Edge [px];CenterX [px];CenterY [px];PC1LdX;PC1LdY;Length [px];Width [px];Aspect;Direction [°];Relevance;Similarity;Done;polymere?;Form;Farbe;Länge;Breite;Kommentar
;00040;1;122,102499999944;7;PE;221;542;221;221;542;542;222,000000000000;543,000000000000;0,00000000000000;0,00000000000000;1,00000000000000;1,00000000000000;1,00000000000000;0,00000000000000;0,53617777777778;0,32103185348817;;"";"";"";"";"";""
;00041;15;1831,53749999916;7;PE;222;518;222;227;517;522;226,000000000000;520,000000000000;0,89442719099992;0,44721359549996;6,36656314599952;5,91934955049948;1,07555113812502;26,5650511770779;0,38520604444444;0,59441182781837;;"";"";"";"";"";""
;00042;1;122,102499999944;7;PE;222;524;222;222;524;524;223,000000000000;525,000000000000;0,00000000000000;0,00000000000000;1,00000000000000;1,00000000000000;1,00000000000000;0,00000000000000;0,43055786666667;0,61668281564344;;"";"";"";"";"";""
;00043;1;122,102499999944;7;PE;222;526;222;222;526;526;223,000000000000;527,000000000000;0,00000000000000;0,00000000000000;1,00000000000000;1,00000000000000;1,00000000000000;0,00000000000000;0,51768888888889;0,56778449804813;;"";"";"";"";"";""
;00044;5;610,512499999719;7;PE;222;529;222;224;528;530;224,000000000000;530,000000000000;0,82806723046927;-0,56062880930518;3,21676327024372;2,38869603977446;1,34666077922055;145,900704743176;0,50363536118519;0,63275825605048;;"";"";"";"";"";""
;00045;1;122,102499999944;7;PE;223;273;223;223;273;273;224,000000000000;274,000000000000;0,00000000000000;0,00000000000000;1,00000000000000;1,00000000000000;1,00000000000000;0,00000000000000;0,44088888888889;2,52864254372536E-02;;"";"";"";"";"";""
;00046;1;122,102499999944;7;PE;223;525;223;223;525;525;224,000000000000;526,000000000000;0,00000000000000;0,00000000000000;1,00000000000000;1,00000000000000;1,00000000000000;0,00000000000000;0,41727317333333;0,53216700107669;;"";"";"";"";"";""
;00047;11;1343,12749999938;7;PE;223;532;223;228;530;533;227,000000000000;533,000000000000;0,95545826226830;-0,29512625952842;6,36754383039835;2,98099600821968;2,13604574204083;162,834891402248;0,54185565297778;0,65546929125211;;"";"";"";"";"";""
;00048;1;122,102499999944;7;PE;223;534;223;223;534;534;224,000000000000;535,000000000000;0,00000000000000;0,00000000000000;1,00000000000000;1,00000000000000;1,00000000000000;0,00000000000000;0,35310408438518;0,59667851145721;;"";"";"";"";"";""
;00049;8;976,819999999550;7;PE;223;537;223;227;536;538;226,000000000000;538,000000000000;0,99388373467362;-0,11043152607485;4,97553493869447;2,98776746934720;1,66530193187410;173,659808254090;0,30166876555553;0,61138644051889;;"";"";"";"";"";""
