Data ID:;D:\mrolf2\ML3.3_5-20\NO2-1\ML3.3_5-20_NO.2-1.ilab
Date of Export:;2020-07-10 11:06:20
Classes:;24
Particles:;3856

Particle Classes:
;Class;Class Name;Class ID;No. of Particles
;1;PU;PU;22
;2;PET;PET;4
;3;PA;PA;0
;4;PC;PC;3
;5;PMMA;PMMA;0
;6;PVC;PVC;35
;7;PE;PE;43
;8;PP;PP;7
;9;POM;POM;0
;10;ABS;ABS;2
;11;PAN;PAN;0
;12;PS;PS;2
;13;PBT;PBT;0
;14;PPSU;PPSU;0
;15;CA;CA;0
;16;EVAc;EVAc;0
;17;PEEK;PEEK;1
;18;EVOH;EVOH;2
;19;PSU;PSU;0
;20;SILICONE;SI;1
;21;Substrat;Substrate;0
;22;Non-Polymer;Non-Polymer;3734
;23;PLA;PLA;0
;24;PLA-PBAT;PLAPBAT;0

Filter Parameters:
;Minimum Size:;1
;Minimum Relevance:;0,00000000000000
;Minimum Aux. Parameter:;0,00000000000000
;Selected Classes:;[1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,23,24]

Particle Properties:
;Particle;Size;Class Idx;Class Name;XPos;YPos;Left Edge;Right Edge;Bottom Edge;Top Edge;CenterX;CenterY;PC1LdX;PC1LdY;Length;Width;Aspect;Direction;Relevance;Similarity;Done;polymere?;Form;Farbe;L‰nge;Breite;Kommentar
;00073;1;7;PE;361;273;361;361;273;273;362,000000000000;274,000000000000;0,00000000000000;0,00000000000000;1,00000000000000;1,00000000000000;1,00000000000000;0,00000000000000;0,54755555555556;0,27755625136748;;"";"";"";"";"";""
;00074;1;7;PE;383;181;383;383;181;181;384,000000000000;182,000000000000;0,00000000000000;0,00000000000000;1,00000000000000;1,00000000000000;1,00000000000000;0,00000000000000;0,41813333333333;0,24226211473745;;"";"";"";"";"";""
;00075;1;7;PE;401;505;401;401;505;505;402,000000000000;506,000000000000;0,00000000000000;0,00000000000000;1,00000000000000;1,00000000000000;1,00000000000000;0,00000000000000;0,43797904329218;0,53662891470934;;"";"";"";"";"";""
;00076;1;7;PE;409;388;409;409;388;388;410,000000000000;389,000000000000;0,00000000000000;0,00000000000000;1,00000000000000;1,00000000000000;1,00000000000000;0,00000000000000;0,58270079547417;6,05513873695074E-02;;"";"";"";"";"";""
;00077;1;7;PE;412;904;412;412;904;904;413,000000000000;905,000000000000;0,00000000000000;0,00000000000000;1,00000000000000;1,00000000000000;1,00000000000000;0,00000000000000;0,47136237037037;0,16506335042496;;"";"";"";"";"";""
;00078;1;7;PE;429;710;429;429;710;710;430,000000000000;711,000000000000;0,00000000000000;0,00000000000000;1,00000000000000;1,00000000000000;1,00000000000000;0,00000000000000;0,53137777777778;0,44881185761929;;"";"";"";"";"";""
;00079;1;7;PE;434;768;434;434;768;768;435,000000000000;769,000000000000;0,00000000000000;0,00000000000000;1,00000000000000;1,00000000000000;1,00000000000000;0,00000000000000;0,36758708837557;0,29455504552178;;"";"";"";"";"";""
;00080;1;7;PE;438;581;438;438;581;581;439,000000000000;582,000000000000;0,00000000000000;0,00000000000000;1,00000000000000;1,00000000000000;1,00000000000000;0,00000000000000;0,35980584838974;0,11719742871022;;"";"";"";"";"";""
;00081;1;7;PE;466;667;466;466;667;667;467,000000000000;668,000000000000;0,00000000000000;0,00000000000000;1,00000000000000;1,00000000000000;1,00000000000000;0,00000000000000;0,50166518518518;2,96557408427097E-02;;"";"";"";"";"";""
;00082;1;7;PE;482;472;482;482;472;472;483,000000000000;473,000000000000;0,00000000000000;0,00000000000000;1,00000000000000;1,00000000000000;1,00000000000000;0,00000000000000;0,39994898605616;0,28177872338185;;"";"";"";"";"";""
;00083;1;7;PE;488;754;488;488;754;754;489,000000000000;755,000000000000;0,00000000000000;0,00000000000000;1,00000000000000;1,00000000000000;1,00000000000000;0,00000000000000;0,41066666666667;0,61326617165243;;"";"";"";"";"";""
;00084;1;7;PE;492;147;492;492;147;147;493,000000000000;148,000000000000;0,00000000000000;0,00000000000000;1,00000000000000;1,00000000000000;1,00000000000000;0,00000000000000;0,43804444444444;3,45535120334147E-02;;"";"";"";"";"";""
;00085;1;7;PE;499;833;499;499;833;833;500,000000000000;834,000000000000;0,00000000000000;0,00000000000000;1,00000000000000;1,00000000000000;1,00000000000000;0,00000000000000;0,35143711651461;0,00000000000000;;"";"";"";"";"";""
;00086;1;7;PE;510;344;510;510;344;344;511,000000000000;345,000000000000;0,00000000000000;0,00000000000000;1,00000000000000;1,00000000000000;1,00000000000000;0,00000000000000;0,40117311209877;0,50556498417186;;"";"";"";"";"";""
;00087;1;7;PE;523;667;523;523;667;667;524,000000000000;668,000000000000;0,00000000000000;0,00000000000000;1,00000000000000;1,00000000000000;1,00000000000000;0,00000000000000;0,63555555555556;0,15722042499735;;"";"";"";"";"";""
;00088;2;7;PE;547;766;547;548;766;766;548,000000000000;767,000000000000;1,00000000000000;0,00000000000000;2,00000000000000;1,00000000000000;2,00000000000000;0,00000000000000;0,32380193380636;0,33737779906702;;"";"";"";"";"";""
;00089;1;7;PE;549;395;549;549;395;395;550,000000000000;396,000000000000;0,00000000000000;0,00000000000000;1,00000000000000;1,00000000000000;1,00000000000000;0,00000000000000;0,51078637037037;3,43442718609244E-02;;"";"";"";"";"";""
;00090;1;7;PE;551;187;551;551;187;187;552,000000000000;188,000000000000;0,00000000000000;0,00000000000000;1,00000000000000;1,00000000000000;1,00000000000000;0,00000000000000;0,51710103703704;0,37945951005857;;"";"";"";"";"";""
;00091;2;7;PE;560;501;560;561;501;501;562,000000000000;502,000000000000;1,00000000000000;0,00000000000000;2,00000000000000;1,00000000000000;2,00000000000000;0,00000000000000;0,39253333333333;0,45445872053279;;"";"";"";"";"";""
;00092;1;7;PE;593;638;593;593;638;638;594,000000000000;639,000000000000;0,00000000000000;0,00000000000000;1,00000000000000;1,00000000000000;1,00000000000000;0,00000000000000;0,49143210666667;3,21772531797630E-02;;"";"";"";"";"";""
;00093;1;7;PE;630;196;630;630;196;196;631,000000000000;197,000000000000;0,00000000000000;0,00000000000000;1,00000000000000;1,00000000000000;1,00000000000000;0,00000000000000;0,37694122666667;0,23508693736249;;"";"";"";"";"";""
;00094;1;7;PE;631;762;631;631;762;762;632,000000000000;763,000000000000;0,00000000000000;0,00000000000000;1,00000000000000;1,00000000000000;1,00000000000000;0,00000000000000;0,43511533416296;0,37113392006647;;"";"";"";"";"";""
;00095;1;7;PE;632;767;632;632;767;767;633,000000000000;768,000000000000;0,00000000000000;0,00000000000000;1,00000000000000;1,00000000000000;1,00000000000000;0,00000000000000;0,50420224000000;0,42018240923601;;"";"";"";"";"";""
;00096;1;7;PE;639;168;639;639;168;168;640,000000000000;169,000000000000;0,00000000000000;0,00000000000000;1,00000000000000;1,00000000000000;1,00000000000000;0,00000000000000;0,65246878024691;0,45899586431726;;"";"";"";"";"";""
