Data ID:;D:\mrolf2\ML1\ML1.1_5-20_1-32_2v5\ML1.1_5-20_1-32_2v5.ilab
Date of Export:;2021-02-06 11:43:03
Classes:;24
Particles on File:;2421

Particle Classes:
;Class;Class Name;Class ID;No. of Particles
;1;PU;PU;12
;2;PET;PET;3
;3;PA;PA;0
;4;PC;PC;1
;5;PMMA;PMMA;12
;6;PVC;PVC;10
;7;PE;PE;77
;8;PP;PP;37
;9;POM;POM;0
;10;ABS;ABS;2
;11;PAN;PAN;0
;12;PS;PS;12
;13;PBT;PBT;0
;14;PPSU;PPSU;2
;15;CA;CA;0
;16;EVAc;EVAc;1
;17;PEEK;PEEK;1
;18;EVOH;EVOH;4
;19;PSU;PSU;0
;20;SILICONE;SI;0
;21;Substrat;Substrate;0
;22;Non-Polymer;Non-Polymer;2246
;23;PLA;PLA;1
;24;PLA-PBAT;PLAPBAT;0

Export Filter Parameters:
;Minimum Size:;1
;Minimum Relevance:;0,00000000000000
;Minimum Aux. Parameter:;0,00000000000000
;Selected Classes:;[1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,23,24]
;No. Exported Particles:;175

Particle Properties:
;Particle;Size [px];Area [µm≤];Class Idx;Class Name;XPos [px];YPos [px];Left Edge [px];Right Edge [px];Bottom Edge [px];Top Edge [px];CenterX [px];CenterY [px];PC1LdX;PC1LdY;Length [px];Width [px];Aspect;Direction [∞];Relevance;Similarity;Done;polymere?;Form;Farbe;L‰nge;Breite;Kommentar
;00052;5;610,512499999719;7;PE;349;454;349;352;454;455;351,000000000000;455,000000000000;0,98195638673142;-0,18910752115495;4,13497668134920;1,98195638673133;2,08631063177362;169,099295256824;0,35073137797556;0,00000000000000;;"";"";"";"";"";""
;00053;1;122,102499999944;7;PE;351;457;351;351;457;457;352,000000000000;458,000000000000;0,00000000000000;0,00000000000000;1,00000000000000;1,00000000000000;1,00000000000000;0,00000000000000;0,44936103506173;0,00000000000000;;"";"";"";"";"";""
;00054;1;122,102499999944;7;PE;372;290;372;372;290;290;373,000000000000;291,000000000000;0,00000000000000;0,00000000000000;1,00000000000000;1,00000000000000;1,00000000000000;0,00000000000000;0,51139706880000;0,79378854806070;OK;"ja";"Fragment";"transparent";"552";"169";""
;00055;249;30403,5224999860;7;PE;372;292;372;394;285;314;384,000000000000;301,000000000000;0,51233225081800;0,85878732220018;32,2186965330571;14,6964950176712;2,19227077574055;59,1806949554668;0,84770844444445;0,74641856663706;;"";"";"";"";"";""
;00056;2;244,204999999887;7;PE;388;318;388;389;318;318;390,000000000000;319,000000000000;1,00000000000000;0,00000000000000;2,00000000000000;1,00000000000000;2,00000000000000;0,00000000000000;0,42159521185185;0,91713684089536;;"";"";"";"";"";""
;00057;1;122,102499999944;7;PE;398;340;398;398;340;340;399,000000000000;341,000000000000;0,00000000000000;0,00000000000000;1,00000000000000;1,00000000000000;1,00000000000000;0,00000000000000;0,57954607407407;2,59454949644855E-02;;"";"";"";"";"";""
;00058;2;244,204999999887;7;PE;411;464;411;411;464;465;412,000000000000;466,000000000000;0,00000000000000;1,00000000000000;2,00000000000000;1,00000000000000;2,00000000000000;90,0000000000000;0,52229499259259;0,81412987436072;OK;"ja";"Fragment";"transparent";"46";"44";""
;00059;19;2319,94749999893;7;PE;433;291;433;437;291;295;436,000000000000;294,000000000000;0,99718422732148;-7,49907779748313E-02;5,21370924321042;5,13871846523563;1,01459328400303;175,699307570643;0,65635555555556;0,94125190543457;;"";"";"";"";"";""
;00060;1;122,102499999944;7;PE;451;314;451;451;314;314;452,000000000000;315,000000000000;0,00000000000000;0,00000000000000;1,00000000000000;1,00000000000000;1,00000000000000;0,00000000000000;0,44426666666667;0,11013462117555;;"";"";"";"";"";""
;00061;1;122,102499999944;7;PE;461;507;461;461;507;507;462,000000000000;508,000000000000;0,00000000000000;0,00000000000000;1,00000000000000;1,00000000000000;1,00000000000000;0,00000000000000;0,48184414814815;3,08147939431691E-02;;"";"";"";"";"";""
;00062;1;122,102499999944;7;PE;471;452;471;471;452;452;472,000000000000;453,000000000000;0,00000000000000;0,00000000000000;1,00000000000000;1,00000000000000;1,00000000000000;0,00000000000000;0,39822222222222;0,16170702491663;;"";"";"";"";"";""
;00063;1;122,102499999944;7;PE;491;349;491;491;349;349;492,000000000000;350,000000000000;0,00000000000000;0,00000000000000;1,00000000000000;1,00000000000000;1,00000000000000;0,00000000000000;0,40057326554074;0,00000000000000;;"";"";"";"";"";""
;00064;24;2930,45999999865;7;PE;493;346;493;499;345;350;496,000000000000;349,000000000000;0,98348557054208;0,18098655346604;7,26288653018457;5,91742785271038;1,22737221491563;10,4272290197892;0,70560000000000;0,45184593404112;OK;"ja";"Fragment";"grau";"156";"82";""
;00065;75;9157,68749999578;7;PE;502;819;502;514;814;824;509,000000000000;819,000000000000;0,82034325218658;-0,57187144411304;13,1316048026912;11,2424464902446;1,16803800792700;145,119169386254;0,94737777777778;0,84079227778259;;"";"";"";"";"";""
;00066;1;122,102499999944;7;PE;504;127;504;504;127;127;505,000000000000;128,000000000000;0,00000000000000;0,00000000000000;1,00000000000000;1,00000000000000;1,00000000000000;0,00000000000000;0,34269665689600;0,00000000000000;;"";"";"";"";"";""
;00067;2;244,204999999887;7;PE;520;127;520;521;127;127;522,000000000000;128,000000000000;1,00000000000000;0,00000000000000;2,00000000000000;1,00000000000000;2,00000000000000;0,00000000000000;0,43536118518519;0,16881825701122;;"";"";"";"";"";""
;00068;1;122,102499999944;7;PE;522;126;522;522;126;126;523,000000000000;127,000000000000;0,00000000000000;0,00000000000000;1,00000000000000;1,00000000000000;1,00000000000000;0,00000000000000;0,23765598814815;0,20410176916293;;"";"";"";"";"";""
;00069;1;122,102499999944;7;PE;573;919;573;573;919;919;574,000000000000;920,000000000000;0,00000000000000;0,00000000000000;1,00000000000000;1,00000000000000;1,00000000000000;0,00000000000000;0,44455253333333;0,26128797673477;;"";"";"";"";"";""
;00070;690;84250,7249999612;7;PE;587;311;587;629;287;320;613,000000000000;306,000000000000;0,75989406678629;-0,65004692696989;42,6662547095724;31,5973851272273;1,35030967080903;139,454859940814;0,98666666666667;0,89025144273947;OK;"ja";"Fragment";"transparent";"497";"309";""
;00071;1;122,102499999944;7;PE;598;318;598;598;318;318;599,000000000000;319,000000000000;0,00000000000000;0,00000000000000;1,00000000000000;1,00000000000000;1,00000000000000;0,00000000000000;0,42419124148148;0,36480763319770;;"";"";"";"";"";""
;00072;2;244,204999999887;7;PE;598;321;598;598;321;322;599,000000000000;322,000000000000;0,00000000000000;1,00000000000000;2,00000000000000;1,00000000000000;2,00000000000000;90,0000000000000;0,62577777777778;0,43425291255449;;"";"";"";"";"";""
;00073;1;122,102499999944;7;PE;623;330;623;623;330;330;624,000000000000;331,000000000000;0,00000000000000;0,00000000000000;1,00000000000000;1,00000000000000;1,00000000000000;0,00000000000000;0,38083306746311;0,27322530209656;;"";"";"";"";"";""
;00074;1;122,102499999944;7;PE;624;289;624;624;289;289;625,000000000000;290,000000000000;0,00000000000000;0,00000000000000;1,00000000000000;1,00000000000000;1,00000000000000;0,00000000000000;0,70724266666667;0,72359878936059;;"";"";"";"";"";""
;00075;2;244,204999999887;7;PE;624;616;624;625;616;616;626,000000000000;617,000000000000;1,00000000000000;0,00000000000000;2,00000000000000;1,00000000000000;2,00000000000000;0,00000000000000;0,45226666666667;0,91381879200919;OK;"ja";"Fragment";"transparent";"330";"86";""
;00076;1;122,102499999944;7;PE;627;304;627;627;304;304;628,000000000000;305,000000000000;0,00000000000000;0,00000000000000;1,00000000000000;1,00000000000000;1,00000000000000;0,00000000000000;0,69422222222222;0,16087256657663;;"";"";"";"";"";""
;00077;5;610,512499999719;7;PE;627;617;627;629;615;617;629,000000000000;617,000000000000;-0,52573111211913;0,85065080835204;3,75276384094235;2,05146222423832;1,82931169611748;121,717474411461;0,53504000000000;0,87245691109643;;"";"";"";"";"";""
;00078;12;1465,22999999932;7;PE;633;612;633;637;609;613;636,000000000000;612,000000000000;-0,61866727637670;0,78565310483740;5,37994697210297;3,35695931451221;1,60262501509784;128,218877117775;0,64888888888889;0,89469053331416;;"";"";"";"";"";""
;00079;1;122,102499999944;7;PE;638;883;638;638;883;883;639,000000000000;884,000000000000;0,00000000000000;0,00000000000000;1,00000000000000;1,00000000000000;1,00000000000000;0,00000000000000;0,50201600000000;9,59663438754202E-02;;"";"";"";"";"";""
;00080;22;2686,25499999876;7;PE;639;613;639;646;613;618;643,000000000000;617,000000000000;0,76544600911911;0,64350012208518;9,57562267425965;3,93983814944249;2,43046092530848;40,0533127063084;0,46026903703704;0,92809940950888;;"";"";"";"";"";""
;00081;1;122,102499999944;7;PE;659;491;659;659;491;491;660,000000000000;492,000000000000;0,00000000000000;0,00000000000000;1,00000000000000;1,00000000000000;1,00000000000000;0,00000000000000;0,17377283474217;0,15216778231154;;"";"";"";"";"";""
;00082;1;122,102499999944;7;PE;660;490;660;660;490;490;661,000000000000;491,000000000000;0,00000000000000;0,00000000000000;1,00000000000000;1,00000000000000;1,00000000000000;0,00000000000000;0,44202666666667;0,30299070310345;;"";"";"";"";"";""
;00083;3;366,307499999831;7;PE;677;191;677;679;191;191;679,000000000000;192,000000000000;1,00000000000000;0,00000000000000;3,00000000000000;1,00000000000000;3,00000000000000;0,00000000000000;0,56591757241205;0,33039703637882;;"";"";"";"";"";""
;00084;2;244,204999999887;7;PE;684;849;684;685;849;849;686,000000000000;850,000000000000;1,00000000000000;0,00000000000000;2,00000000000000;1,00000000000000;2,00000000000000;0,00000000000000;0,41329493333333;7,29320401089878E-02;;"";"";"";"";"";""
;00085;1;122,102499999944;7;PE;692;168;692;692;168;168;693,000000000000;169,000000000000;0,00000000000000;0,00000000000000;1,00000000000000;1,00000000000000;1,00000000000000;0,00000000000000;0,47866632722963;0,32727084161540;;"";"";"";"";"";""
;00086;1;122,102499999944;7;PE;696;523;696;696;523;523;697,000000000000;524,000000000000;0,00000000000000;0,00000000000000;1,00000000000000;1,00000000000000;1,00000000000000;0,00000000000000;0,42739200000000;0,00000000000000;;"";"";"";"";"";""
