Data ID:;D:\mrolf2\ML3.3_5-20\NO1-1\ML3.3_5-20_NO1-1.ilab
Date of Export:;2020-07-10 11:00:24
Classes:;24
Particles:;4182

Particle Classes:
;Class;Class Name;Class ID;No. of Particles
;1;PU;PU;23
;2;PET;PET;9
;3;PA;PA;1
;4;PC;PC;2
;5;PMMA;PMMA;2
;6;PVC;PVC;20
;7;PE;PE;22
;8;PP;PP;11
;9;POM;POM;0
;10;ABS;ABS;0
;11;PAN;PAN;0
;12;PS;PS;3
;13;PBT;PBT;0
;14;PPSU;PPSU;0
;15;CA;CA;0
;16;EVAc;EVAc;1
;17;PEEK;PEEK;0
;18;EVOH;EVOH;3
;19;PSU;PSU;0
;20;SILICONE;SI;0
;21;Substrat;Substrate;1
;22;Non-Polymer;Non-Polymer;4083
;23;PLA;PLA;0
;24;PLA-PBAT;PLAPBAT;1

Filter Parameters:
;Minimum Size:;1
;Minimum Relevance:;0,00000000000000
;Minimum Aux. Parameter:;0,00000000000000
;Selected Classes:;[1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,23,24]

Particle Properties:
;Particle;Size;Class Idx;Class Name;XPos;YPos;Left Edge;Right Edge;Bottom Edge;Top Edge;CenterX;CenterY;PC1LdX;PC1LdY;Length;Width;Aspect;Direction;Relevance;Similarity;Done;polymere?;Form;Farbe;L‰nge;Breite;Kommentar
;00074;1;7;PE;660;478;660;660;478;478;661,000000000000;479,000000000000;0,00000000000000;0,00000000000000;1,00000000000000;1,00000000000000;1,00000000000000;0,00000000000000;0,42613333333333;0,41774657219903;;"";"";"";"";"";""
;00075;1;7;PE;801;213;801;801;213;213;802,000000000000;214,000000000000;0,00000000000000;0,00000000000000;1,00000000000000;1,00000000000000;1,00000000000000;0,00000000000000;0,44160000000000;5,67981952241028E-02;;"";"";"";"";"";""
;00076;1;7;PE;802;212;802;802;212;212;803,000000000000;213,000000000000;0,00000000000000;0,00000000000000;1,00000000000000;1,00000000000000;1,00000000000000;0,00000000000000;0,40425244444444;0,21799660382150;;"";"";"";"";"";""
;00077;1;7;PE;807;198;807;807;198;198;808,000000000000;199,000000000000;0,00000000000000;0,00000000000000;1,00000000000000;1,00000000000000;1,00000000000000;0,00000000000000;0,41020074666667;0,10129874061377;;"";"";"";"";"";""
;00078;1;7;PE;831;877;831;831;877;877;832,000000000000;878,000000000000;0,00000000000000;0,00000000000000;1,00000000000000;1,00000000000000;1,00000000000000;0,00000000000000;0,38112379259259;0,25811889191974;;"";"";"";"";"";""
;00079;1;7;PE;941;676;941;941;676;676;942,000000000000;677,000000000000;0,00000000000000;0,00000000000000;1,00000000000000;1,00000000000000;1,00000000000000;0,00000000000000;0,47412622222222;0,50322855891843;;"";"";"";"";"";""
;00080;2;8;PP;428;337;428;428;337;338;429,000000000000;338,000000000000;0,00000000000000;1,00000000000000;2,00000000000000;1,00000000000000;2,00000000000000;90,0000000000000;0,35441799542203;0,16455314218147;;"";"";"";"";"";""
;00081;1;8;PP;471;449;471;471;449;449;472,000000000000;450,000000000000;0,00000000000000;0,00000000000000;1,00000000000000;1,00000000000000;1,00000000000000;0,00000000000000;0,21021400599177;0,41947028600602;;"";"";"";"";"";""
;00082;3;8;PP;472;448;472;474;448;448;474,000000000000;449,000000000000;1,00000000000000;0,00000000000000;3,00000000000000;1,00000000000000;3,00000000000000;0,00000000000000;0,45588480000000;0,68637805299471;OK;"ja";"Fragment";"grau";"73";"65";""
;00083;14;8;PP;500;980;500;505;980;982;503,000000000000;982,000000000000;0,99371128426124;0,11197269100938;6,08052911231562;3,21136795054122;1,89343893504662;6,42904508649909;0,93404444444444;0,91190941908224;OK;"ja";"Fragment";"grau";"82";"78";""
