Data ID:;D:\mrolf2\ML3.3_5-20\NO1-2\ML3.3_5-20_NO1-2.ilab
Date of Export:;2020-07-10 11:02:39
Classes:;24
Particles:;4593

Particle Classes:
;Class;Class Name;Class ID;No. of Particles
;1;PU;PU;13
;2;PET;PET;3
;3;PA;PA;0
;4;PC;PC;2
;5;PMMA;PMMA;2
;6;PVC;PVC;15
;7;PE;PE;21
;8;PP;PP;4
;9;POM;POM;0
;10;ABS;ABS;0
;11;PAN;PAN;0
;12;PS;PS;3
;13;PBT;PBT;0
;14;PPSU;PPSU;0
;15;CA;CA;0
;16;EVAc;EVAc;0
;17;PEEK;PEEK;0
;18;EVOH;EVOH;1
;19;PSU;PSU;0
;20;SILICONE;SI;1
;21;Substrat;Substrate;0
;22;Non-Polymer;Non-Polymer;4528
;23;PLA;PLA;0
;24;PLA-PBAT;PLAPBAT;0

Filter Parameters:
;Minimum Size:;1
;Minimum Relevance:;0,00000000000000
;Minimum Aux. Parameter:;0,00000000000000
;Selected Classes:;[1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,23,24]

Particle Properties:
;Particle;Size;Class Idx;Class Name;XPos;YPos;Left Edge;Right Edge;Bottom Edge;Top Edge;CenterX;CenterY;PC1LdX;PC1LdY;Length;Width;Aspect;Direction;Relevance;Similarity;Done;polymere?;Form;Farbe;Länge;Breite;Kommentar
;00045;1;7;PE;284;758;284;284;758;758;285,000000000000;759,000000000000;0,00000000000000;0,00000000000000;1,00000000000000;1,00000000000000;1,00000000000000;0,00000000000000;0,40364148629807;0,20934144363491;;"";"";"";"";"";""
;00046;1;7;PE;316;262;316;316;262;262;317,000000000000;263,000000000000;0,00000000000000;0,00000000000000;1,00000000000000;1,00000000000000;1,00000000000000;0,00000000000000;0,45066606617284;0,10531089609725;;"";"";"";"";"";""
;00047;1;7;PE;386;582;386;386;582;582;387,000000000000;583,000000000000;0,00000000000000;0,00000000000000;1,00000000000000;1,00000000000000;1,00000000000000;0,00000000000000;0,40571006424248;0,13451244429428;;"";"";"";"";"";""
;00048;1;7;PE;445;277;445;445;277;277;446,000000000000;278,000000000000;0,00000000000000;0,00000000000000;1,00000000000000;1,00000000000000;1,00000000000000;0,00000000000000;0,42764325925926;0,00000000000000;;"";"";"";"";"";""
;00049;1;7;PE;455;75;455;455;75;75;456,000000000000;76,0000000000000;0,00000000000000;0,00000000000000;1,00000000000000;1,00000000000000;1,00000000000000;0,00000000000000;0,44373333333333;8,93315281590026E-02;;"";"";"";"";"";""
;00050;1;7;PE;482;364;482;482;364;364;483,000000000000;365,000000000000;0,00000000000000;0,00000000000000;1,00000000000000;1,00000000000000;1,00000000000000;0,00000000000000;0,44800000000000;4,73224989808725E-02;;"";"";"";"";"";""
;00051;1;7;PE;542;478;542;542;478;478;543,000000000000;479,000000000000;0,00000000000000;0,00000000000000;1,00000000000000;1,00000000000000;1,00000000000000;0,00000000000000;0,50905863453023;7,61429052803106E-02;;"";"";"";"";"";""
;00052;1;7;PE;629;352;629;629;352;352;630,000000000000;353,000000000000;0,00000000000000;0,00000000000000;1,00000000000000;1,00000000000000;1,00000000000000;0,00000000000000;0,42080938666667;9,14560476360873E-02;;"";"";"";"";"";""
;00053;1;7;PE;693;169;693;693;169;169;694,000000000000;170,000000000000;0,00000000000000;0,00000000000000;1,00000000000000;1,00000000000000;1,00000000000000;0,00000000000000;0,45196174222222;0,11825060361764;;"";"";"";"";"";""
;00054;3;7;PE;724;358;724;725;358;359;725,000000000000;360,000000000000;0,70710678118655;0,70710678118655;2,41421356237311;1,70710678118655;1,41421356237310;45,0000000000000;0,35773288296296;0,00000000000000;;"";"";"";"";"";""
;00055;1;7;PE;760;657;760;760;657;657;761,000000000000;658,000000000000;0,00000000000000;0,00000000000000;1,00000000000000;1,00000000000000;1,00000000000000;0,00000000000000;0,30556033580247;0,11405684226321;;"";"";"";"";"";""
;00056;1;7;PE;806;148;806;806;148;148;807,000000000000;149,000000000000;0,00000000000000;0,00000000000000;1,00000000000000;1,00000000000000;1,00000000000000;0,00000000000000;0,49359176691358;0,10897199842663;;"";"";"";"";"";""
;00057;2;8;PP;534;346;534;535;346;346;536,000000000000;347,000000000000;1,00000000000000;0,00000000000000;2,00000000000000;1,00000000000000;2,00000000000000;0,00000000000000;0,43847065053867;0,84718746119793;;"";"";"";"";"";""
;00058;3;8;PP;540;350;540;541;350;351;541,000000000000;351,000000000000;-0,70710678118655;0,70710678118655;2,41421356237311;1,70710678118655;1,41421356237310;135,000000000000;0,67531851851852;0,89847716031609;OK;"ja";"Fragment";"transparent";"139";"77";""
;00059;2;8;PP;709;177;709;710;177;177;710,000000000000;178,000000000000;1,00000000000000;0,00000000000000;2,00000000000000;1,00000000000000;2,00000000000000;0,00000000000000;0,48938666666667;0,10542308727761;;"";"";"";"";"";""
;00060;2;8;PP;962;591;962;962;591;592;963,000000000000;592,000000000000;0,00000000000000;1,00000000000000;2,00000000000000;1,00000000000000;2,00000000000000;90,0000000000000;0,86033066666667;0,77131854642969;OK;"ja";"Fragment";"grau";"49";"41";""
;00061;7;12;PS;458;96;458;460;95;97;460,000000000000;97,0000000000000;0,70710678118655;-0,70710678118655;3,82842712474621;2,41421356237311;1,58578643762690;135,000000000000;0,97333333333333;0,69922306638284;OK;"ja";"Fragment";"grau";"56";"41";""
;00062;15;12;PS;526;67;526;531;67;71;529,000000000000;70,0000000000000;0,72171542363258;0,69218989250844;7,37733668819669;3,19467180202184;2,30926278046081;43,8037087993545;0,42636325925926;0,72718514261982;OK;"ja";"Fragment";"transparent";"268";"103";""
;00063;1;12;PS;536;68;536;536;68;68;537,000000000000;69,0000000000000;0,00000000000000;0,00000000000000;1,00000000000000;1,00000000000000;1,00000000000000;0,00000000000000;0,37132344888889;0,40632331589104;;"";"";"";"";"";""
;00064;1;18;EVOH;201;703;201;201;703;703;202,000000000000;704,000000000000;0,00000000000000;0,00000000000000;1,00000000000000;1,00000000000000;1,00000000000000;0,00000000000000;0,33298324543210;0,30459764216376;;"";"";"";"";"";""
;00065;3;20;SILICONE;403;265;403;404;265;266;405,000000000000;266,000000000000;0,70710678118655;0,70710678118655;2,41421356237311;1,70710678118655;1,41421356237310;45,0000000000000;0,55007762962963;0,37220251682684;OK;"ja";"Fragment";"transparent";"27";"19";""
