Data ID:;D:\mrolf2\ML1\ML1.1_5-20_1-32_1v5\ML1.1_5-20_1-32-1v5.ilab
Date of Export:;2021-02-06 11:38:24
Classes:;24
Particles on File:;6246

Particle Classes:
;Class;Class Name;Class ID;No. of Particles
;1;PU;PU;25
;2;PET;PET;13
;3;PA;PA;1
;4;PC;PC;3
;5;PMMA;PMMA;23
;6;PVC;PVC;14
;7;PE;PE;131
;8;PP;PP;99
;9;POM;POM;3
;10;ABS;ABS;0
;11;PAN;PAN;0
;12;PS;PS;21
;13;PBT;PBT;0
;14;PPSU;PPSU;0
;15;CA;CA;4
;16;EVAc;EVAc;4
;17;PEEK;PEEK;0
;18;EVOH;EVOH;0
;19;PSU;PSU;0
;20;SILICONE;SI;0
;21;Substrat;Substrate;0
;22;Non-Polymer;Non-Polymer;5904
;23;PLA;PLA;0
;24;PLA-PBAT;PLAPBAT;1

Export Filter Parameters:
;Minimum Size:;1
;Minimum Relevance:;0,00000000000000
;Minimum Aux. Parameter:;0,00000000000000
;Selected Classes:;[1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,23,24]
;No. Exported Particles:;342

Particle Properties:
;Particle;Size [px];Area [µm≤];Class Idx;Class Name;XPos [px];YPos [px];Left Edge [px];Right Edge [px];Bottom Edge [px];Top Edge [px];CenterX [px];CenterY [px];PC1LdX;PC1LdY;Length [px];Width [px];Aspect;Direction [∞];Relevance;Similarity;Done;polymere?;Form;Farbe;L‰nge;Breite;Kommentar
;00056;2;244,204999999968;5;PMMA;614;523;614;614;523;524;615,000000000000;524,000000000000;0,00000000000000;1,00000000000000;2,00000000000000;1,00000000000000;2,00000000000000;90,0000000000000;0,43227851753384;0,51473208887086;;"";"";"";"";"";""
;00057;2;244,204999999968;5;PMMA;615;513;615;616;513;513;616,000000000000;514,000000000000;1,00000000000000;0,00000000000000;2,00000000000000;1,00000000000000;2,00000000000000;0,00000000000000;0,43150222222222;0,55458447228271;;"";"";"";"";"";""
;00058;3;366,307499999952;5;PMMA;666;223;666;667;223;224;667,000000000000;224,000000000000;-0,70710678118655;0,70710678118655;2,41421356237311;1,70710678118655;1,41421356237310;135,000000000000;0,47731800408603;0,48168988320574;;"";"";"";"";"";""
;00059;2;244,204999999968;5;PMMA;668;222;668;669;222;222;670,000000000000;223,000000000000;1,00000000000000;0,00000000000000;2,00000000000000;1,00000000000000;2,00000000000000;0,00000000000000;0,41536474074074;0,34599955465707;;"";"";"";"";"";""
;00060;1;122,102499999984;5;PMMA;735;454;735;735;454;454;736,000000000000;455,000000000000;0,00000000000000;0,00000000000000;1,00000000000000;1,00000000000000;1,00000000000000;0,00000000000000;0,43343701333333;5,65085653457315E-02;;"";"";"";"";"";""
;00061;1;122,102499999984;5;PMMA;773;415;773;773;415;415;774,000000000000;416,000000000000;0,00000000000000;0,00000000000000;1,00000000000000;1,00000000000000;1,00000000000000;0,00000000000000;0,44746124958025;0,17191616794923;;"";"";"";"";"";""
;00062;205;25031,0124999967;5;PMMA;919;352;919;937;344;359;929,000000000000;353,000000000000;0,99710159913689;-7,60815417737131E-02;19,0239103262376;16,0326055288270;1,18657633608163;175,636632346198;0,83384471703704;0,70180172552197;OK;"ja";"Kugel";"transparent";"192";"192";""
;00063;1;122,102499999984;5;PMMA;930;408;930;930;408;408;931,000000000000;409,000000000000;0,00000000000000;0,00000000000000;1,00000000000000;1,00000000000000;1,00000000000000;0,00000000000000;0,31263784070005;0,00000000000000;;"";"";"";"";"";""
;00064;1;122,102499999984;5;PMMA;939;393;939;939;393;393;940,000000000000;394,000000000000;0,00000000000000;0,00000000000000;1,00000000000000;1,00000000000000;1,00000000000000;0,00000000000000;0,30898137765273;0,31487021914324;;"";"";"";"";"";""
;00065;9;1098,92249999986;5;PMMA;981;505;981;984;504;506;983,000000000000;506,000000000000;0,81124218517556;-0,58471028466376;4,60314712485416;3,20719465501486;1,43525654660734;144,217474411461;0,88000000000000;0,62363472359817;OK;"ja";"Fragment";"transparent";"50";"35";""
;00066;1;122,102499999984;6;PVC;431;781;431;431;781;781;432,000000000000;782,000000000000;0,00000000000000;0,00000000000000;1,00000000000000;1,00000000000000;1,00000000000000;0,00000000000000;0,30520707638887;0,55438592928347;;"";"";"";"";"";""
;00067;1;122,102499999984;6;PVC;434;779;434;434;779;779;435,000000000000;780,000000000000;0,00000000000000;0,00000000000000;1,00000000000000;1,00000000000000;1,00000000000000;0,00000000000000;0,40277333333333;0,45642929753908;;"";"";"";"";"";""
;00068;1;122,102499999984;6;PVC;443;501;443;443;501;501;444,000000000000;502,000000000000;0,00000000000000;0,00000000000000;1,00000000000000;1,00000000000000;1,00000000000000;0,00000000000000;0,39431590174551;0,58464884777312;;"";"";"";"";"";""
;00069;1;122,102499999984;6;PVC;446;504;446;446;504;504;447,000000000000;505,000000000000;0,00000000000000;0,00000000000000;1,00000000000000;1,00000000000000;1,00000000000000;0,00000000000000;0,44097889975309;0,29223366639161;;"";"";"";"";"";""
;00070;1;122,102499999984;6;PVC;448;502;448;448;502;502;449,000000000000;503,000000000000;0,00000000000000;0,00000000000000;1,00000000000000;1,00000000000000;1,00000000000000;0,00000000000000;0,35031066895632;0,19202620287166;;"";"";"";"";"";""
;00071;33;4029,38249999947;6;PVC;448;504;448;455;502;509;453,000000000000;506,000000000000;0,47456630718556;0,88021975669958;8,58523721845370;8,11067091126816;1,05851135034048;61,6688839100221;0,55668148148148;0,45969994182910;;"";"";"";"";"";""
;00072;1;122,102499999984;6;PVC;528;399;528;528;399;399;529,000000000000;400,000000000000;0,00000000000000;0,00000000000000;1,00000000000000;1,00000000000000;1,00000000000000;0,00000000000000;0,50889795760988;0,37105352978957;;"";"";"";"";"";""
;00073;5;610,512499999919;6;PVC;759;471;759;762;471;472;762,000000000000;472,000000000000;0,93362041168967;0,35826376718337;4,15912500225227;1,93362041168967;2,15095216057316;20,9936062479083;0,51020635654321;0,35951928203450;;"";"";"";"";"";""
;00074;2;244,204999999968;6;PVC;761;468;761;762;468;468;762,000000000000;469,000000000000;1,00000000000000;0,00000000000000;2,00000000000000;1,00000000000000;2,00000000000000;0,00000000000000;0,68479051851852;0,54838159556295;;"";"";"";"";"";""
;00075;1;122,102499999984;6;PVC;762;466;762;762;466;466;763,000000000000;467,000000000000;0,00000000000000;0,00000000000000;1,00000000000000;1,00000000000000;1,00000000000000;0,00000000000000;0,55496661482509;0,37916427322681;;"";"";"";"";"";""
;00076;2;244,204999999968;6;PVC;763;469;763;764;469;469;764,000000000000;470,000000000000;1,00000000000000;0,00000000000000;2,00000000000000;1,00000000000000;2,00000000000000;0,00000000000000;0,48614981530864;0,22853569650056;;"";"";"";"";"";""
