Sampling_Site,Sample_ID,MP identifier,Coordinates [pixels],,Coordinates [µm],,Polymer group,Number of pixels [-],Area on map [µm²],Major dimension [µm],Minor dimension [µm],Volume [µm³],Mass [ng]
N8,N8/1,MP_5,[1577,1884],[8674,10362],pe,135,4083.8,108.2,48,78469.484,74.54601
N8,N8/1,MP_6,[1577,211],[8674,1161],pe,9,272.3,22.9,15.1,1648.968,1.56652
N8,N8/1,MP_7,[1048,1273],[5764,7002],pe,22,665.5,40.7,20.8,5539.729,5.26274
N8,N8/2,MP_1,[1019,2166],[5605,11913],pe,167,5051.8,178.6,36,72773.906,69.13521
N9,N9/1,MP_1,[962,2010],[5291,11055],pet,31,937.8,43.4,27.5,10321.067,14.24307
N9,N9/1,MP_2,[413,60],[2272,330],pe,83,2510.8,83.8,38.2,38327.906,36.41151
N9,N9/1,MP_3,[429,61],[2360,336],pe,27,816.8,37.1,28,9159.555,8.70158
N9,N9/1,MP_4,[433,533],[2382,2932],pe,45,1361.3,60.6,28.6,15565.597,14.78732
N9,N9/1,MP_5,[471,708],[2591,3894],pe,80,2420,137,22.5,21774.08,20.68538
N9,N9/1,MP_6,[575,851],[3163,4681],pe,23,695.8,35.1,25.2,7020.075,6.66907
N9,N9/1,MP_7,[697,637],[3834,3504],pe,6,181.5,21.1,11,796.783,0.75694
N9,N9/1,MP_8,[755,1751],[4153,9631],pe,22,665.5,37.6,22.6,6003.746,5.70356
N9,N9/1,MP_9,[833,949],[4582,5220],pe,26,786.5,45,22.3,7006.253,6.65594
N9,N9/1,MP_10,[857,1608],[4714,8844],pe,10,302.5,22.9,16.8,2035.763,1.93397
N9,N9/1,MP_11,[1095,924],[6023,5082],pe,47,1421.8,55.5,32.6,18565.693,17.63741
N9,N9/1,MP_12,[1350,24],[7425,132],pe,150,4537.5,114.7,50.4,91452.508,86.87988
N9,N9/1,MP_13,[1370,166],[7535,913],pe,14,423.5,40.7,13.2,2243.361,2.13119
N9,N9/1,MP_14,[1829,2043],[10060,11237],pe,17,514.3,35.1,18.6,3835.164,3.64341
N9,N9/1,MP_15,[1836,2066],[10098,11363],pe,71,2147.8,67.6,40.5,34752.496,33.01487
N9,N9/1,MP_16,[1949,329],[10720,1810],pe,28,847,39.6,27.2,9221.916,8.76082
N9,N9/1,MP_17,[1973,1236],[10852,6798],pe,15,453.8,30.1,19.2,3484.046,3.30984
N9,N9/1,MP_18,[2161,601],[11886,3306],pe,12,363,25.3,18.2,2649.349,2.51688
N9,N9/1,MP_19,[1122,702],[6171,3861],pp,204,6171,243.4,32.3,79697.625,75.71274
N9,N9/2,MP_1,[142,941],[781,5176],pet,98,2964.5,164.5,22.9,27213.354,37.55443
N9,N9/2,MP_2,[188,988],[1034,5434],pet,256,7744,187.2,52.7,163184.234,225.19425
N9,N9/2,MP_3,[2133,1125],[11732,6188],pet,21,635.3,40.3,20.1,5101.707,7.04035
N9,N9/2,MP_4,[75,1491],[413,8201],pe,54,1633.5,58.4,35.6,23288.4,22.12398
