Data ID:;D:\Image_Lab_Daten\mrolf2\0-5_ML\ML1.1_0-5_1-8_3v5\ML1_1_0-5_1-8_3v5.ilab
Date of Export:;2021-04-20 11:27:59
Classes:;24
Particles on File:;12504

Particle Classes:
;Class;Class Name;Class ID;No. of Particles
;1;PU;PU;22
;2;PET;PET;5
;3;PA;PA;5
;4;PC;PC;2
;5;PMMA;PMMA;26
;6;PVC;PVC;23
;7;PE;PE;305
;8;PP;PP;182
;9;POM;POM;13
;10;ABS;ABS;1
;11;PAN;PAN;0
;12;PS;PS;73
;13;PBT;PBT;0
;14;PPSU;PPSU;0
;15;CA;CA;0
;16;EVAc;EVAc;52
;17;PEEK;PEEK;0
;18;EVOH;EVOH;1
;19;PSU;PSU;0
;20;SILICONE;SI;0
;21;Substrat;Substrate;3924
;22;Non-Polymer;Non-Polymer;7869
;23;PLA;PLA;0
;24;PLA-PBAT;PLAPBAT;1

Export Filter Parameters:
;Minimum Size:;1
;Minimum Relevance:;0,00000000000000
;Minimum Aux. Parameter:;0,00000000000000
;Selected Classes:;[1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,23,24]
;No. Exported Particles:;711

Particle Properties:
;Particle;Size [px];Area [µm²];Class Idx;Class Name;XPos [px];YPos [px];Left Edge [px];Right Edge [px];Bottom Edge [px];Top Edge [px];CenterX [px];CenterY [px];PC1LdX;PC1LdY;Length [px];Width [px];Aspect;Direction [°];Relevance;Similarity;Done;polymer;shape;length;width;comment
;00044;1;122,102499999944;5;PMMA;644;158;644;644;158;158;644;158;0,00000000000000;0,00000000000000;1,00000000000000;1,00000000000000;1,00000000000000;0,00000000000000;0,44546019884247;0,48803483069912;;"";"";"";"";""
;00045;20;2442,04999999887;5;PMMA;656;92;656;662;90;94;658;92;0,93935813851575;-0,34293773138024;7,32202429385495;4,75743255406297;1,53907054081129;159,944042045251;0,57810853619222;0,55419071289390;OK;"";"bead";"91";"91";""
;00046;2;244,204999999887;5;PMMA;656;516;656;657;516;516;656;516;1,00000000000000;0,00000000000000;2,00000000000000;1,00000000000000;2,00000000000000;0,00000000000000;0,37558727111111;0,35949586270314;;"";"";"";"";""
;00047;2;244,204999999887;5;PMMA;661;959;661;661;959;960;661;960;0,00000000000000;1,00000000000000;2,00000000000000;1,00000000000000;2,00000000000000;90,0000000000000;0,60996761387053;0,78797936791182;OK;"";"fragment";"89";"52";""
;00048;1;122,102499999944;5;PMMA;662;961;662;662;961;961;662;961;0,00000000000000;0,00000000000000;1,00000000000000;1,00000000000000;1,00000000000000;0,00000000000000;0,31614946683563;0,53045496327965;;"";"";"";"";""
;00049;1;122,102499999944;5;PMMA;664;102;664;664;102;102;664;102;0,00000000000000;0,00000000000000;1,00000000000000;1,00000000000000;1,00000000000000;0,00000000000000;0,30405452057292;0,31851979942793;;"";"";"";"";""
;00050;2;244,204999999887;5;PMMA;664;958;664;664;958;959;664;958;0,00000000000000;1,00000000000000;2,00000000000000;1,00000000000000;2,00000000000000;90,0000000000000;0,39505402858930;0,69564469764652;;"";"";"";"";""
;00051;1;122,102499999944;5;PMMA;677;714;677;677;714;714;677;714;0,00000000000000;0,00000000000000;1,00000000000000;1,00000000000000;1,00000000000000;0,00000000000000;0,37124402774106;0,34258282683326;;"";"";"";"";""
;00052;2;244,204999999887;5;PMMA;788;156;788;788;156;157;788;156;0,00000000000000;1,00000000000000;2,00000000000000;1,00000000000000;2,00000000000000;90,0000000000000;0,58143366109445;0,59874103298007;OK;"";"bead";"58";"58";""
;00053;1;122,102499999944;5;PMMA;789;681;789;789;681;681;789;681;0,00000000000000;0,00000000000000;1,00000000000000;1,00000000000000;1,00000000000000;0,00000000000000;0,36257818835239;0,46552919127595;;"";"";"";"";""
;00054;2;244,204999999887;5;PMMA;790;156;790;791;156;156;790;156;1,00000000000000;0,00000000000000;2,00000000000000;1,00000000000000;2,00000000000000;0,00000000000000;0,42925550993228;0,48073653696247;;"";"";"";"";""
;00055;4;488,409999999775;5;PMMA;800;224;800;801;223;225;801;224;0,00000000000000;1,00000000000000;3,00000000000000;2,00000000000000;1,50000000000000;90,0000000000000;0,41733074602107;0,51193065600092;;"";"";"";"";""
;00056;1;122,102499999944;5;PMMA;853;432;853;853;432;432;853;432;0,00000000000000;0,00000000000000;1,00000000000000;1,00000000000000;1,00000000000000;0,00000000000000;0,17788153101976;0,41802282532627;;"";"";"";"";""
;00057;1;122,102499999944;5;PMMA;854;431;854;854;431;431;854;431;0,00000000000000;0,00000000000000;1,00000000000000;1,00000000000000;1,00000000000000;0,00000000000000;0,26675646683128;0,44256401042184;;"";"";"";"";""
;00058;2;244,204999999887;5;PMMA;860;892;860;861;892;892;860;892;1,00000000000000;0,00000000000000;2,00000000000000;1,00000000000000;2,00000000000000;0,00000000000000;0,41449227534538;6,44051608487847E-02;;"";"";"";"";""
;00059;1;122,102499999944;5;PMMA;865;440;865;865;440;440;865;440;0,00000000000000;0,00000000000000;1,00000000000000;1,00000000000000;1,00000000000000;0,00000000000000;0,31916932800486;0,27176507343149;;"";"";"";"";""
;00060;1;122,102499999944;5;PMMA;962;303;962;962;303;303;962;303;0,00000000000000;0,00000000000000;1,00000000000000;1,00000000000000;1,00000000000000;0,00000000000000;0,52202642929479;0,18908160494040;;"";"";"";"";""
;00061;1;122,102499999944;6;PVC;109;390;109;109;390;390;109;390;0,00000000000000;0,00000000000000;1,00000000000000;1,00000000000000;1,00000000000000;0,00000000000000;0,45586966635558;0,14217811781540;;"";"";"";"";""
;00062;2;244,204999999887;6;PVC;110;389;110;111;389;389;110;389;1,00000000000000;0,00000000000000;2,00000000000000;1,00000000000000;2,00000000000000;0,00000000000000;0,45964635654321;0,53871002429344;OK;"";"fragment";"119";"77";""
;00063;1;122,102499999944;6;PVC;226;880;226;226;880;880;226;880;0,00000000000000;0,00000000000000;1,00000000000000;1,00000000000000;1,00000000000000;0,00000000000000;0,43276800000000;0,50742506126557;;"";"";"";"";""
;00064;1;122,102499999944;6;PVC;285;808;285;285;808;808;285;808;0,00000000000000;0,00000000000000;1,00000000000000;1,00000000000000;1,00000000000000;0,00000000000000;0,53760000000000;0,49548218397911;;"";"";"";"";""
;00065;2;244,204999999887;6;PVC;287;807;287;288;807;807;288;807;1,00000000000000;0,00000000000000;2,00000000000000;1,00000000000000;2,00000000000000;0,00000000000000;0,41424213333333;0,59196211567605;;"";"";"";"";""
;00066;2;244,204999999887;6;PVC;287;809;287;288;809;809;288;809;1,00000000000000;0,00000000000000;2,00000000000000;1,00000000000000;2,00000000000000;0,00000000000000;0,40862909629630;8,66943254479883E-02;;"";"";"";"";""
;00067;1;122,102499999944;6;PVC;304;715;304;304;715;715;304;715;0,00000000000000;0,00000000000000;1,00000000000000;1,00000000000000;1,00000000000000;0,00000000000000;0,44133673086420;0,28790741924738;;"";"";"";"";""
;00068;1;122,102499999944;6;PVC;312;404;312;312;404;404;312;404;0,00000000000000;0,00000000000000;1,00000000000000;1,00000000000000;1,00000000000000;0,00000000000000;0,43613297777778;0,36226492892602;;"";"";"";"";""
;00069;1;122,102499999944;6;PVC;313;403;313;313;403;403;313;403;0,00000000000000;0,00000000000000;1,00000000000000;1,00000000000000;1,00000000000000;0,00000000000000;0,53540889283951;0,48222803299901;OK;"";"fragment";"148";"105";""
;00070;1;122,102499999944;6;PVC;315;403;315;315;403;403;315;403;0,00000000000000;0,00000000000000;1,00000000000000;1,00000000000000;1,00000000000000;0,00000000000000;0,39664244642348;0,44096001009024;;"";"";"";"";""
;00071;8;976,819999999550;6;PVC;430;789;430;432;788;790;431;789;0,70710678118655;-0,70710678118655;3,82842712474621;3,12132034355966;1,22654091966099;135,000000000000;0,72526051555556;0,60186036101617;OK;"";"fragment";"239";"171";""
;00072;1;122,102499999944;6;PVC;432;781;432;432;781;781;432;781;0,00000000000000;0,00000000000000;1,00000000000000;1,00000000000000;1,00000000000000;0,00000000000000;0,49114074074074;0,33404272193510;;"";"";"";"";""
;00073;1;122,102499999944;6;PVC;437;783;437;437;783;783;437;783;0,00000000000000;0,00000000000000;1,00000000000000;1,00000000000000;1,00000000000000;0,00000000000000;0,59430387105185;0,31124291040898;;"";"";"";"";""
;00074;1;122,102499999944;6;PVC;439;780;439;439;780;780;439;780;0,00000000000000;0,00000000000000;1,00000000000000;1,00000000000000;1,00000000000000;0,00000000000000;0,48218924188752;0,50755095283822;;"";"";"";"";""
