Data ID:;D:\Image_Lab_Daten\mrolf2\0-5_ML\ML1.1_0-5_1-8_4v5\ML 1.1 0-5 1-8 4v5.ilab
Date of Export:;2021-05-07 11:38:24
Classes:;24
Particles on File:;62037

Particle Classes:
;Class;Class Name;Class ID;No. of Particles
;1;PU;PU;13
;2;PET;PET;1
;3;PA;PA;0
;4;PC;PC;3
;5;PMMA;PMMA;18
;6;PVC;PVC;5
;7;PE;PE;152
;8;PP;PP;139
;9;POM;POM;47
;10;ABS;ABS;0
;11;PAN;PAN;0
;12;PS;PS;23
;13;PBT;PBT;0
;14;PPSU;PPSU;0
;15;CA;CA;0
;16;EVAc;EVAc;31
;17;PEEK;PEEK;0
;18;EVOH;EVOH;0
;19;PSU;PSU;0
;20;SILICONE;SI;8
;21;Substrat;Substrate;55048
;22;Non-Polymer;Non-Polymer;6549
;23;PLA;PLA;0
;24;PLA-PBAT;PLAPBAT;0

Export Filter Parameters:
;Minimum Size:;1
;Minimum Relevance:;0,00000000000000
;Minimum Aux. Parameter:;0,00000000000000
;Selected Classes:;[1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,23,24]
;No. Exported Particles:;440

Particle Properties:
;Particle;Size [px];Area [µm²];Class Idx;Class Name;XPos [px];YPos [px];Left Edge [px];Right Edge [px];Bottom Edge [px];Top Edge [px];CenterX [px];CenterY [px];PC1LdX;PC1LdY;Length [px];Width [px];Aspect;Direction [°];Relevance;Similarity;Done;Polymer?;Shape;Length;Width
;00071;1;122,102499999944;7;PE;219;689;219;219;689;689;219;689;0,00000000000000;0,00000000000000;1,00000000000000;1,00000000000000;1,00000000000000;0,00000000000000;0,36893330170467;0,00000000000000;;"";"";"0";"0"
;00072;1;122,102499999944;7;PE;221;691;221;221;691;691;221;691;0,00000000000000;0,00000000000000;1,00000000000000;1,00000000000000;1,00000000000000;0,00000000000000;0,44434304647550;0,00000000000000;;"";"";"0";"0"
;00073;1;122,102499999944;7;PE;221;858;221;221;858;858;221;858;0,00000000000000;0,00000000000000;1,00000000000000;1,00000000000000;1,00000000000000;0,00000000000000;0,48717868915534;0,00000000000000;;"";"";"0";"0"
;00074;2;244,204999999887;7;PE;223;691;223;224;691;691;224;691;1,00000000000000;0,00000000000000;2,00000000000000;1,00000000000000;2,00000000000000;0,00000000000000;0,55867259259259;0,00000000000000;;"";"";"0";"0"
;00075;1;122,102499999944;7;PE;224;694;224;224;694;694;224;694;0,00000000000000;0,00000000000000;1,00000000000000;1,00000000000000;1,00000000000000;0,00000000000000;0,39566510459259;0,00000000000000;;"";"";"0";"0"
;00076;2;244,204999999887;7;PE;225;689;225;226;689;689;226;689;1,00000000000000;0,00000000000000;2,00000000000000;1,00000000000000;2,00000000000000;0,00000000000000;0,56433777777778;0,00000000000000;;"";"";"0";"0"
;00077;1;122,102499999944;7;PE;226;691;226;226;691;691;226;691;0,00000000000000;0,00000000000000;1,00000000000000;1,00000000000000;1,00000000000000;0,00000000000000;0,53651279012346;0,00000000000000;;"";"";"0";"0"
;00078;1;122,102499999944;7;PE;227;860;227;227;860;860;227;860;0,00000000000000;0,00000000000000;1,00000000000000;1,00000000000000;1,00000000000000;0,00000000000000;0,39669503385596;0,00000000000000;;"";"";"0";"0"
;00079;2;244,204999999887;7;PE;231;822;231;232;822;822;232;822;1,00000000000000;0,00000000000000;2,00000000000000;1,00000000000000;2,00000000000000;0,00000000000000;0,35273728000000;0,00000000000000;;"";"";"0";"0"
;00080;1;122,102499999944;7;PE;240;830;240;240;830;830;240;830;0,00000000000000;0,00000000000000;1,00000000000000;1,00000000000000;1,00000000000000;0,00000000000000;0,41014929382716;0,00000000000000;;"";"";"0";"0"
