Data ID:;D:\mrolf2\Blanks\FB_PW3_ML1_1v2\FB_PW3_ML1_1v2\FB PW 3 ML1-1_1v2.ilab
Date of Export:;2020-07-15 17:41:18
Classes:;24
Particles:;59476

Particle Classes:
;Class;Class Name;Class ID;No. of Particles
;1;PU;PU;14
;2;PET;PET;10
;3;PA;PA;2
;4;PC;PC;1
;5;PMMA;PMMA;9
;6;PVC;PVC;34
;7;PE;PE;4
;8;PP;PP;6
;9;POM;POM;2
;10;ABS;ABS;0
;11;PAN;PAN;0
;12;PS;PS;5
;13;PBT;PBT;4
;14;PPSU;PPSU;11
;15;CA;CA;0
;16;EVAc;EVAc;2
;17;PEEK;PEEK;0
;18;EVOH;EVOH;1
;19;PSU;PSU;3
;20;SILICONE;SI;6
;21;Substrat;Substrate;52004
;22;Non-Polymer;Non-Polymer;7358
;23;PLA;PLA;0
;24;PLA-PBAT;PLAPBAT;0

Filter Parameters:
;Minimum Size:;1
;Minimum Relevance:;0,00000000000000
;Minimum Aux. Parameter:;0,00000000000000
;Selected Classes:;[1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,23,24]

Particle Properties:
;Particle;Size;Class Idx;Class Name;XPos;YPos;Left Edge;Right Edge;Bottom Edge;Top Edge;CenterX;CenterY;PC1LdX;PC1LdY;Length;Width;Aspect;Direction;Relevance;Similarity;Done;polymere?;Form;Farbe;L‰nge;Breite;Kommentar
;00042;1;6;PVC;224;819;224;224;819;819;225,000000000000;820,000000000000;0,00000000000000;0,00000000000000;1,00000000000000;1,00000000000000;1,00000000000000;0,00000000000000;0,58201350528316;0,12759136782732;;"";"";"";"";"";""
;00043;1;6;PVC;264;790;264;264;790;790;265,000000000000;791,000000000000;0,00000000000000;0,00000000000000;1,00000000000000;1,00000000000000;1,00000000000000;0,00000000000000;0,45370311111111;0,33909726707391;;"";"";"";"";"";""
;00044;1;6;PVC;320;112;320;320;112;112;321,000000000000;113,000000000000;0,00000000000000;0,00000000000000;1,00000000000000;1,00000000000000;1,00000000000000;0,00000000000000;0,45280294937284;0,30332559230452;;"";"";"";"";"";""
;00045;1;6;PVC;421;340;421;421;340;340;422,000000000000;341,000000000000;0,00000000000000;0,00000000000000;1,00000000000000;1,00000000000000;1,00000000000000;0,00000000000000;0,41536474074074;0,14039783370584;;"";"";"";"";"";""
;00046;1;6;PVC;421;940;421;421;940;940;422,000000000000;941,000000000000;0,00000000000000;0,00000000000000;1,00000000000000;1,00000000000000;1,00000000000000;0,00000000000000;0,47476938271605;0,57729494686423;;"";"";"";"";"";""
;00047;1;6;PVC;448;296;448;448;296;296;449,000000000000;297,000000000000;0,00000000000000;0,00000000000000;1,00000000000000;1,00000000000000;1,00000000000000;0,00000000000000;0,48450370370370;0,10125052946103;;"";"";"";"";"";""
;00048;1;6;PVC;451;293;451;451;293;293;452,000000000000;294,000000000000;0,00000000000000;0,00000000000000;1,00000000000000;1,00000000000000;1,00000000000000;0,00000000000000;0,39575185382716;0,15591921675243;;"";"";"";"";"";""
;00049;1;6;PVC;470;381;470;470;381;381;471,000000000000;382,000000000000;0,00000000000000;0,00000000000000;1,00000000000000;1,00000000000000;1,00000000000000;0,00000000000000;0,46520850962963;1,83654339341859E-02;;"";"";"";"";"";""
;00050;1;6;PVC;509;370;509;509;370;370;510,000000000000;371,000000000000;0,00000000000000;0,00000000000000;1,00000000000000;1,00000000000000;1,00000000000000;0,00000000000000;0,53920237037037;8,90203007378879E-02;;"";"";"";"";"";""
;00051;1;6;PVC;517;974;517;517;974;974;518,000000000000;975,000000000000;0,00000000000000;0,00000000000000;1,00000000000000;1,00000000000000;1,00000000000000;0,00000000000000;0,41466872414815;0,10832827357779;;"";"";"";"";"";""
;00052;4;6;PVC;524;131;524;526;130;131;526,000000000000;132,000000000000;0,85065080835204;-0,52573111211913;3,22703272882325;1,85065080835204;1,74372859226579;148,282525588539;0,50970099610864;3,55598163038904E-02;;"";"";"";"";"";""
;00053;4;6;PVC;525;542;525;526;542;544;526,000000000000;544,000000000000;0,00000000000000;1,00000000000000;3,00000000000000;2,00000000000000;1,50000000000000;90,0000000000000;0,63715555555556;0,51817802597691;OK;"ja";"Fragment";"";"81";"49";""
;00054;1;6;PVC;535;185;535;535;185;185;536,000000000000;186,000000000000;0,00000000000000;0,00000000000000;1,00000000000000;1,00000000000000;1,00000000000000;0,00000000000000;0,53030539483128;0,44437164661563;;"";"";"";"";"";""
