Data ID:;D:\Image_Lab_Daten\mrolf2\0-5_ML\ML1.1_0-5_1-8_1v5\ML1.1 0-5 1-8 1v5.ilab
Date of Export:;2021-05-07 16:52:09
Classes:;24
Particles on File:;6745

Particle Classes:
;Class;Class Name;Class ID;No. of Particles
;1;PU;PU;84
;2;PET;PET;9
;3;PA;PA;9
;4;PC;PC;8
;5;PMMA;PMMA;51
;6;PVC;PVC;41
;7;PE;PE;594
;8;PP;PP;281
;9;POM;POM;17
;10;ABS;ABS;6
;11;PAN;PAN;1
;12;PS;PS;102
;13;PBT;PBT;2
;14;PPSU;PPSU;0
;15;CA;CA;3
;16;EVAc;EVAc;207
;17;PEEK;PEEK;0
;18;EVOH;EVOH;6
;19;PSU;PSU;0
;20;SILICONE;SI;6
;21;Substrat;Substrate;0
;22;Non-Polymer;Non-Polymer;5318
;23;PLA;PLA;0
;24;PLA-PBAT;PLAPBAT;0

Export Filter Parameters:
;Minimum Size:;1
;Minimum Relevance:;0,00000000000000
;Minimum Aux. Parameter:;0,00000000000000
;Selected Classes:;[1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,23,24]
;No. Exported Particles:;1427

Particle Properties:
;Particle;Size [px];Area [µm≤];Class Idx;Class Name;XPos [px];YPos [px];Left Edge [px];Right Edge [px];Bottom Edge [px];Top Edge [px];CenterX [px];CenterY [px];PC1LdX;PC1LdY;Length [px];Width [px];Aspect;Direction [∞];Relevance;Similarity;Done;polymere?;Form;Farbe;L‰nge;Breite;Kommentar
;00060;1;122,102499999944;1;PU;694;694;694;694;694;694;694;694;0,00000000000000;0,00000000000000;1,00000000000000;1,00000000000000;1,00000000000000;0,00000000000000;0,20126581186391;0,46926199657652;;"";"";"";"";"";""
;00061;1;122,102499999944;1;PU;717;840;717;717;840;840;717;840;0,00000000000000;0,00000000000000;1,00000000000000;1,00000000000000;1,00000000000000;0,00000000000000;0,33576277333333;0,16810805879560;;"";"";"";"";"";""
;00062;5;610,512499999719;1;PU;724;873;724;726;872;874;725;873;0,85065080835204;-0,52573111211913;3,75276384094235;2,05146222423832;1,82931169611748;148,282525588539;0,74666666666667;0,46449560510093;;"";"";"";"";"";""
;00063;1;122,102499999944;1;PU;743;852;743;743;852;852;743;852;0,00000000000000;0,00000000000000;1,00000000000000;1,00000000000000;1,00000000000000;0,00000000000000;0,44617407736625;0,32320353177797;;"";"";"";"";"";""
;00064;1;122,102499999944;1;PU;751;796;751;751;796;796;751;796;0,00000000000000;0,00000000000000;1,00000000000000;1,00000000000000;1,00000000000000;0,00000000000000;0,40079481717403;3,75652783940055E-02;;"";"";"";"";"";""
;00065;1;122,102499999944;1;PU;752;794;752;752;794;794;752;794;0,00000000000000;0,00000000000000;1,00000000000000;1,00000000000000;1,00000000000000;0,00000000000000;0,41610316694650;0,25912004128918;;"";"";"";"";"";""
;00066;1;122,102499999944;1;PU;762;361;762;762;361;361;762;361;0,00000000000000;0,00000000000000;1,00000000000000;1,00000000000000;1,00000000000000;0,00000000000000;0,33319752302592;0,20848433857117;;"";"";"";"";"";""
;00067;1;122,102499999944;1;PU;765;115;765;765;115;115;765;115;0,00000000000000;0,00000000000000;1,00000000000000;1,00000000000000;1,00000000000000;0,00000000000000;0,42974814814815;9,76448207796219E-02;;"";"";"";"";"";""
;00068;1;122,102499999944;1;PU;768;658;768;768;658;658;768;658;0,00000000000000;0,00000000000000;1,00000000000000;1,00000000000000;1,00000000000000;0,00000000000000;0,43181511111111;0,25827963698336;;"";"";"";"";"";""
;00069;1;122,102499999944;1;PU;776;377;776;776;377;377;776;377;0,00000000000000;0,00000000000000;1,00000000000000;1,00000000000000;1,00000000000000;0,00000000000000;0,46365089185185;0,54356296383307;;"";"";"";"";"";""
;00070;1;122,102499999944;1;PU;777;864;777;777;864;864;777;864;0,00000000000000;0,00000000000000;1,00000000000000;1,00000000000000;1,00000000000000;0,00000000000000;0,38014181072593;7,00414796253134E-02;;"";"";"";"";"";""
;00071;1;122,102499999944;1;PU;787;517;787;787;517;517;787;517;0,00000000000000;0,00000000000000;1,00000000000000;1,00000000000000;1,00000000000000;0,00000000000000;0,45175125333333;0,36999540608237;;"";"";"";"";"";""
;00072;3;366,307499999831;1;PU;797;326;797;798;325;326;798;326;-0,70710678118655;0,70710678118655;2,41421356237311;1,70710678118667;1,41421356237300;135,000000000000;0,30822187614815;0,11044494304887;;"";"";"";"";"";""
;00073;1;122,102499999944;1;PU;805;794;805;805;794;794;805;794;0,00000000000000;0,00000000000000;1,00000000000000;1,00000000000000;1,00000000000000;0,00000000000000;0,42238103703704;0,35929150312776;;"";"";"";"";"";""
;00074;24;2930,45999999865;1;PU;839;698;839;844;695;700;841;698;0,72969292002241;-0,68377499403617;7,38356457625679;4,60254667412596;1,60423458989885;136,860656632375;0,82880000000000;0,46392698596397;;"";"";"";"";"";""
