Data ID:;D:\Image_Lab_Daten\mrolf2\0-5_ML\ML3.3_0-5_no.1-2\ML3_3_0-5_NO1-2.ilab
Date of Export:;2021-04-20 13:23:57
Classes:;24
Particles on File:;8947

Particle Classes:
;Class;Class Name;Class ID;No. of Particles
;1;PU;PU;27
;2;PET;PET;2
;3;PA;PA;0
;4;PC;PC;3
;5;PMMA;PMMA;7
;6;PVC;PVC;10
;7;PE;PE;55
;8;PP;PP;7
;9;POM;POM;0
;10;ABS;ABS;0
;11;PAN;PAN;0
;12;PS;PS;7
;13;PBT;PBT;0
;14;PPSU;PPSU;0
;15;CA;CA;0
;16;EVAc;EVAc;1
;17;PEEK;PEEK;0
;18;EVOH;EVOH;1
;19;PSU;PSU;0
;20;SILICONE;SI;1
;21;Substrat;Substrate;46
;22;Non-Polymer;Non-Polymer;8780
;23;PLA;PLA;0
;24;PLA-PBAT;PLAPBAT;0

Export Filter Parameters:
;Minimum Size:;1
;Minimum Relevance:;0,00000000000000
;Minimum Aux. Parameter:;0,00000000000000
;Selected Classes:;[1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,23,24]
;No. Exported Particles:;121

Particle Properties:
;Particle;Size [px];Area [µm²];Class Idx;Class Name;XPos [px];YPos [px];Left Edge [px];Right Edge [px];Bottom Edge [px];Top Edge [px];CenterX [px];CenterY [px];PC1LdX;PC1LdY;Length [px];Width [px];Aspect;Direction [°];Relevance;Similarity;Done;Polymer;Shape;Length;Width;Comment
;00090;8;976,819999999550;7;PE;681;190;681;686;190;191;684;190;1,00000000000000;0,00000000000000;6,00000000000000;2,00000000000000;3,00000000000000;0,00000000000000;0,46881962666667;0,00000000000000;;"";"";"";"";""
;00091;1;122,102499999944;7;PE;701;526;701;701;526;526;701;526;0,00000000000000;0,00000000000000;1,00000000000000;1,00000000000000;1,00000000000000;0,00000000000000;0,31310964938272;0,00000000000000;;"";"";"";"";""
;00092;1;122,102499999944;7;PE;720;577;720;720;577;577;720;577;0,00000000000000;0,00000000000000;1,00000000000000;1,00000000000000;1,00000000000000;0,00000000000000;0,49186108049383;0,00000000000000;;"";"";"";"";""
;00093;1;122,102499999944;7;PE;739;769;739;739;769;769;739;769;0,00000000000000;0,00000000000000;1,00000000000000;1,00000000000000;1,00000000000000;0,00000000000000;0,38100133882943;0,00000000000000;;"";"";"";"";""
;00094;7;854,717499999606;7;PE;743;552;743;746;551;552;745;552;0,98940039549748;-0,14521314468540;4,11341433117786;2,27982668486834;1,80426624465772;171,650377883003;0,24146044644258;0,00000000000000;OK;"";"fragment";"117";"94";""
;00095;6;732,614999999662;7;PE;745;549;745;748;548;550;747;549;0,98082027722256;0,19491429857518;4,13737513024284;2,76672625586991;1,49540458564159;11,2397171985516;0,84480000000000;0,00000000000000;;"";"";"";"";""
;00096;1;122,102499999944;7;PE;789;511;789;789;511;511;789;511;0,00000000000000;0,00000000000000;1,00000000000000;1,00000000000000;1,00000000000000;0,00000000000000;0,51883671282304;0,00000000000000;;"";"";"";"";""
;00097;1;122,102499999944;7;PE;792;512;792;792;512;512;792;512;0,00000000000000;0,00000000000000;1,00000000000000;1,00000000000000;1,00000000000000;0,00000000000000;0,49544706275556;0,00000000000000;;"";"";"";"";""
;00098;2;244,204999999887;7;PE;843;487;843;844;487;487;844;487;1,00000000000000;0,00000000000000;2,00000000000000;1,00000000000000;2,00000000000000;0,00000000000000;0,62826666666667;0,00000000000000;;"";"";"";"";""
;00099;1;122,102499999944;7;PE;844;485;844;844;485;485;844;485;0,00000000000000;0,00000000000000;1,00000000000000;1,00000000000000;1,00000000000000;0,00000000000000;0,46518044444444;0,00000000000000;;"";"";"";"";""
