Data ID:;D:\Image_Lab_Daten\mrolf2\0-5_ML\ML1.1_0-5_1-8_2v5\ML1.1_0-5_1-8_2v5.ilab
Date of Export:;2021-05-07 11:52:05
Classes:;24
Particles on File:;5398

Particle Classes:
;Class;Class Name;Class ID;No. of Particles
;1;PU;PU;16
;2;PET;PET;4
;3;PA;PA;2
;4;PC;PC;0
;5;PMMA;PMMA;52
;6;PVC;PVC;30
;7;PE;PE;264
;8;PP;PP;150
;9;POM;POM;3
;10;ABS;ABS;6
;11;PAN;PAN;0
;12;PS;PS;166
;13;PBT;PBT;1
;14;PPSU;PPSU;0
;15;CA;CA;0
;16;EVAc;EVAc;100
;17;PEEK;PEEK;0
;18;EVOH;EVOH;2
;19;PSU;PSU;0
;20;SILICONE;SI;0
;21;Substrat;Substrate;0
;22;Non-Polymer;Non-Polymer;4599
;23;PLA;PLA;2
;24;PLA-PBAT;PLAPBAT;1

Export Filter Parameters:
;Minimum Size:;1
;Minimum Relevance:;0,00000000000000
;Minimum Aux. Parameter:;0,00000000000000
;Selected Classes:;[1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,23,24]
;No. Exported Particles:;799

Particle Properties:
;Particle;Size [px];Area [µm≤];Class Idx;Class Name;XPos [px];YPos [px];Left Edge [px];Right Edge [px];Bottom Edge [px];Top Edge [px];CenterX [px];CenterY [px];PC1LdX;PC1LdY;Length [px];Width [px];Aspect;Direction [∞];Relevance;Similarity;Done;polymere?;Form;Farbe;L‰nge;Breite;Kommentar
;00058;1;122,102499999984;5;PMMA;569;475;569;569;475;475;569;475;0,00000000000000;0,00000000000000;1,00000000000000;1,00000000000000;1,00000000000000;0,00000000000000;0,37290936909622;0,44770788044555;;"";"";"";"";"";""
;00059;1;122,102499999984;5;PMMA;571;475;571;571;475;475;571;475;0,00000000000000;0,00000000000000;1,00000000000000;1,00000000000000;1,00000000000000;0,00000000000000;0,26687300230136;0,39144478484401;;"";"";"";"";"";""
;00060;1;122,102499999984;5;PMMA;573;472;573;573;472;472;573;472;0,00000000000000;0,00000000000000;1,00000000000000;1,00000000000000;1,00000000000000;0,00000000000000;0,44383668301200;0,42242246901674;OK;"ja";"Kugel";"";"158";"158";""
;00061;1;122,102499999984;5;PMMA;643;564;643;643;564;564;643;564;0,00000000000000;0,00000000000000;1,00000000000000;1,00000000000000;1,00000000000000;0,00000000000000;0,52428800000000;0,60637252411368;;"";"";"";"";"";""
;00062;1;122,102499999984;5;PMMA;674;215;674;674;215;215;674;215;0,00000000000000;0,00000000000000;1,00000000000000;1,00000000000000;1,00000000000000;0,00000000000000;0,38403332481327;0,43670714013165;;"";"";"";"";"";""
;00063;2;244,204999999968;5;PMMA;675;216;675;675;216;217;675;216;0,00000000000000;1,00000000000000;2,00000000000000;1,00000000000000;2,00000000000000;90,0000000000000;0,38082764457637;0,48021904170640;;"";"";"";"";"";""
;00064;1;122,102499999984;5;PMMA;677;214;677;677;214;214;677;214;0,00000000000000;0,00000000000000;1,00000000000000;1,00000000000000;1,00000000000000;0,00000000000000;0,20914262446031;0,54780284920542;;"";"";"";"";"";""
;00065;2;244,204999999968;5;PMMA;677;216;677;678;216;216;678;216;1,00000000000000;0,00000000000000;2,00000000000000;1,00000000000000;2,00000000000000;0,00000000000000;0,25003166968491;0,46464403582889;;"";"";"";"";"";""
;00066;2;244,204999999968;5;PMMA;678;213;678;679;213;213;678;213;1,00000000000000;0,00000000000000;2,00000000000000;1,00000000000000;2,00000000000000;0,00000000000000;0,38822608086914;0,59786757083871;;"";"";"";"";"";""
;00067;5;610,512499999919;5;PMMA;679;215;679;681;214;215;680;215;0,94868329805051;-0,31622776601684;3,21359436211787;2,26491106406735;1,41886116991581;161,565051177078;0,26951926691572;0,41779325155880;;"";"";"";"";"";""
;00068;7;854,717499999887;5;PMMA;710;253;710;712;252;254;711;253;1,00000000000000;0,00000000000000;3,00000000000000;3,00000000000000;1,00000000000000;0,00000000000000;0,44261266773333;0,52378571520003;;"";"";"";"";"";""
;00069;1;122,102499999984;5;PMMA;712;251;712;712;251;251;712;251;0,00000000000000;0,00000000000000;1,00000000000000;1,00000000000000;1,00000000000000;0,00000000000000;0,38035447747319;0,45885222573071;;"";"";"";"";"";""
;00070;2;244,204999999968;5;PMMA;714;252;714;714;252;253;714;252;0,00000000000000;1,00000000000000;2,00000000000000;1,00000000000000;2,00000000000000;90,0000000000000;0,36712518801534;0,48654335960111;;"";"";"";"";"";""
;00071;2;244,204999999968;5;PMMA;739;849;739;740;849;849;740;849;1,00000000000000;0,00000000000000;2,00000000000000;1,00000000000000;2,00000000000000;0,00000000000000;0,53349118103704;0,60855590225850;;"";"";"";"";"";""
;00072;1;122,102499999984;5;PMMA;739;851;739;739;851;851;739;851;0,00000000000000;0,00000000000000;1,00000000000000;1,00000000000000;1,00000000000000;0,00000000000000;0,62386513555949;0,49089959511280;;"";"";"";"";"";""
