Data ID:;D:\Image_Lab_Daten\mrolf2\0-5_ML\ML1.3_0-5_1-256_2v5\ML1.3_0-5_1-256_2v5.ilab
Date of Export:;2021-04-20 11:36:18
Classes:;24
Particles on File:;13818

Particle Classes:
;Class;Class Name;Class ID;No. of Particles
;1;PU;PU;26
;2;PET;PET;3
;3;PA;PA;4
;4;PC;PC;1
;5;PMMA;PMMA;5
;6;PVC;PVC;4
;7;PE;PE;37
;8;PP;PP;6
;9;POM;POM;4
;10;ABS;ABS;0
;11;PAN;PAN;0
;12;PS;PS;1
;13;PBT;PBT;1
;14;PPSU;PPSU;0
;15;CA;CA;0
;16;EVAc;EVAc;0
;17;PEEK;PEEK;0
;18;EVOH;EVOH;0
;19;PSU;PSU;0
;20;SILICONE;SI;0
;21;Substrat;Substrate;1
;22;Non-Polymer;Non-Polymer;13725
;23;PLA;PLA;0
;24;PLA-PBAT;PLAPBAT;0

Export Filter Parameters:
;Minimum Size:;1
;Minimum Relevance:;0,00000000000000
;Minimum Aux. Parameter:;0,00000000000000
;Selected Classes:;[1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,23,24]
;No. Exported Particles:;92

Particle Properties:
;Particle;Size [px];Area [µm²];Class Idx;Class Name;XPos [px];YPos [px];Left Edge [px];Right Edge [px];Bottom Edge [px];Top Edge [px];CenterX [px];CenterY [px];PC1LdX;PC1LdY;Length [px];Width [px];Aspect;Direction [°];Relevance;Similarity;Done;Polymer;Shape;Length;Width;Comment
;00081;1;122,102499999944;8;PP;86;619;86;86;619;619;86;619;0,00000000000000;0,00000000000000;1,00000000000000;1,00000000000000;1,00000000000000;0,00000000000000;0,47922706962963;0,00000000000000;;"";"";"";"";""
;00082;1;122,102499999944;8;PP;174;307;174;174;307;307;174;307;0,00000000000000;0,00000000000000;1,00000000000000;1,00000000000000;1,00000000000000;0,00000000000000;0,49230222222222;0,00000000000000;;"";"";"";"";""
;00083;2;244,204999999887;8;PP;235;247;235;236;247;247;236;247;1,00000000000000;0,00000000000000;2,00000000000000;1,00000000000000;2,00000000000000;0,00000000000000;0,42560000000000;0,00000000000000;;"";"";"";"";""
;00084;1;122,102499999944;8;PP;532;797;532;532;797;797;532;797;0,00000000000000;0,00000000000000;1,00000000000000;1,00000000000000;1,00000000000000;0,00000000000000;0,47066074074074;0,00000000000000;;"";"";"";"";""
;00085;1;122,102499999944;8;PP;538;813;538;538;813;813;538;813;0,00000000000000;0,00000000000000;1,00000000000000;1,00000000000000;1,00000000000000;0,00000000000000;0,40698311111111;0,00000000000000;;"";"";"";"";""
;00086;21;2564,15249999882;8;PP;738;284;738;742;282;286;740;284;0,77042589127378;-0,63752956484778;5,99429225963848;5,35676269479063;1,11901396443562;140,392148933781;0,74301642271605;0,00000000000000;OK;"";"fragment";"77";"67";""
;00087;1;122,102499999944;9;POM;176;317;176;176;317;317;176;317;0,00000000000000;0,00000000000000;1,00000000000000;1,00000000000000;1,00000000000000;0,00000000000000;0,36662367573333;0,00000000000000;;"";"";"";"";""
;00088;1;122,102499999944;9;POM;335;178;335;335;178;178;335;178;0,00000000000000;0,00000000000000;1,00000000000000;1,00000000000000;1,00000000000000;0,00000000000000;0,39144072954732;0,00000000000000;;"";"";"";"";""
;00089;1;122,102499999944;9;POM;587;279;587;587;279;279;587;279;0,00000000000000;0,00000000000000;1,00000000000000;1,00000000000000;1,00000000000000;0,00000000000000;0,38372693333333;0,00000000000000;;"";"";"";"";""
;00090;2;244,204999999887;9;POM;609;168;609;610;168;168;610;168;1,00000000000000;0,00000000000000;2,00000000000000;1,00000000000000;2,00000000000000;0,00000000000000;0,27928027281027;0,00000000000000;;"";"";"";"";""
;00091;1;122,102499999944;12;PS;935;458;935;935;458;458;935;458;0,00000000000000;0,00000000000000;1,00000000000000;1,00000000000000;1,00000000000000;0,00000000000000;0,42367203555556;0,00000000000000;OK;"";"fragment";"103";"74";""
;00092;11;1343,12749999938;13;PBT;740;134;740;744;134;136;742;135;0,98483334211643;-0,17350299206579;5,11283636053145;3,31667266836445;1,54155591213430;170,008446739050;0,37092503703704;0,00000000000000;;"";"";"";"";""
